Date;Profile;Message;Number of Likes;Number of comments;Reactions, Comments & Shares;Post interaction rate;Reach per post;Interactions per impression/view;Post comments negative sentiment share;Profile-ID;Post-ID;Link;Image Link;
26/06/2026, 16:07;"DUNLOP Tyre Indonesia";"DAY 7 BLUE RESPONSE FAIR 📍Tribert Singaraja
DAY 7 BLUE RESPONSE FAIR 📍Tribert

Keseruan masih berlanjut! Hari ini tim DUNLOP hadir di Tribert Singaraja dengan FREE Tyre Check, konsultasi ban gratis, dan promo spesial Blue Response TG.

Jangan lewatkan kesempatan untuk merasakan langsung performa DUNLOP Blue Response TG Smart Choice, Smart Premium.

#DunlopTyreIndonesia
#BlueResponseTG #BlueResponseFair #SmartChoiceSmartPremium #FreeTyreCheck";2.0;0.0;2.0;1.3605442176870748E-4;;0.010050251256281407;0.0;UCVShqCtSt3h5oxcY7FjAmKA;h6IF4OUAmSs;http://www.youtube.com/watch?v=h6IF4OUAmSs;https://i.ytimg.com/vi/h6IF4OUAmSs/mqdefault.jpg;
26/06/2026, 09:02;"DUNLOP Tyre Indonesia";"BALI! 🌴💙Day 6 and the energy is still soaring
BALI! 🌴💙
Day 6 and the energy is still soaring!

The Blue Response Fair is rolling strong across Bali. 

Haven’t stopped by yet? Today is the perfect time to get a FREE tyre check and experience the precision of the all-new DUNLOP Blue Response TG.

📍 Join us for exclusive fair-only deals, fun activities, and expert advice to keep your journey smooth and safe.

Don’t miss your chance to upgrade your ride before we wrap up. See you on the road! 🚗💨

#DUNLOP #BlueResponseFair #BlueResponseTG #SmartChoiceSmartPremium #BRFairOnTheMove #Bali #DriveSafe";0.0;0.0;0.0;0.0;;0.0;0.0;UCVShqCtSt3h5oxcY7FjAmKA;93haCoL0bcI;http://www.youtube.com/watch?v=93haCoL0bcI;https://i.ytimg.com/vi/93haCoL0bcI/mqdefault.jpg;
25/06/2026, 13:46;"DUNLOP Tyre Indonesia";"DAY 6 | BLUE RESPONSE FAIR 📍INDO RAYA, BALI
DAY 6 | BLUE RESPONSE FAIR 📍INDO RAYA, BALI

Keseruan masih berlanjut! Hari ini tim DUNLOP hadir di Oscar Variasi dengan FREE Tyre Check, konsultasi ban gratis, dan promo spesial Blue Response TG.

Jangan lewatkan kesempatan untuk merasakan langsung performa DUNLOP Blue Response TG Smart Choice, Smart Premium.

#DunlopTyreIndonesia
#BlueResponseTG #BlueResponseFair #SmartChoiceSmartPremium #FreeTyreCheck #Bali";3.0;0.0;3.0;2.0408163265306123E-4;;0.013452914798206279;0.0;UCVShqCtSt3h5oxcY7FjAmKA;PCj7t8vk7DM;http://www.youtube.com/watch?v=PCj7t8vk7DM;https://i.ytimg.com/vi/PCj7t8vk7DM/mqdefault.jpg;
25/06/2026, 11:18;"DUNLOP Tyre Indonesia";"DAY 6 | BLUE RESPONSE FAIR 📍Oscar Variasi
DAY 6 | BLUE RESPONSE FAIR 📍Oscar Variasi 

Keseruan masih berlanjut! Hari ini tim DUNLOP hadir di Oscar Variasi dengan FREE Tyre Check, konsultasi ban gratis, dan promo spesial Blue Response TG.

Jangan lewatkan kesempatan untuk merasakan langsung performa DUNLOP Blue Response TG Smart Choice, Smart Premium.

#DunlopTyreIndonesia
#BlueResponseTG #BlueResponseFair #SmartChoiceSmartPremium #FreeTyreCheck #Bali";1.0;0.0;1.0;6.802721088435374E-5;;9.106638739641199E-5;0.0;UCVShqCtSt3h5oxcY7FjAmKA;Hm-H76bPyVs;http://www.youtube.com/watch?v=Hm-H76bPyVs;https://i.ytimg.com/vi/Hm-H76bPyVs/mqdefault.jpg;
25/06/2026, 08:48;"DUNLOP Tyre Indonesia";"DAY 6 | Blue Response Fair Bali
DAY 6 | Blue Response Fair Bali 

Semangat masih terus berlanjut! Terima kasih untuk seluruh Drivemate yang sudah mampir untuk cek ban GRATIS, ikut berbagai aktivitas seru, dan merasakan langsung performa DUNLOP Blue Response TG.

📍 Masih ada kesempatan sampai besok!
Jangan sampai ketinggalan ya!

#DunlopIndonesia #BlueResponseTG #BlueResponseFair #SmartChoiceSmartPremium #TakingYouBeyond";13.0;0.0;13.0;8.843537414965987E-4;;7.013001024977073E-4;0.0;UCVShqCtSt3h5oxcY7FjAmKA;Exo6S1g5r3M;http://www.youtube.com/watch?v=Exo6S1g5r3M;https://i.ytimg.com/vi/Exo6S1g5r3M/mqdefault.jpg;
24/06/2026, 09:49;"DUNLOP Tyre Indonesia";"See you at the DUNLOP Blue Response Fair!
Day 5 of the DUNLOP Blue Response Fair Bali is officially rolling! 🔥

Antusiasme terus bertambah, semakin banyak pengendara yang memanfaatkan FREE Tyre Check, mencoba pengalaman langsung dengan DUNLOP Blue Response TG, dan menikmati berbagai aktivitas seru di lokasi.

Masih ada kesempatan untuk bergabung hingga 26 Juni 2026. Datang ke DUNLOP Shop terdekat di Bali, cek kondisi ban kendaraanmu, nikmati promo spesial, dan rasakan sendiri performa Smart Choice, Smart Premium.

📍 Bali
🗓️ 20–26 Juni 2026

See you at the DUNLOP Blue Response Fair! 

#DUNLOP #BanDUNLOP #BlueResponseFair #BlueResponseTG #BRFairOnTheMove #SmartChoiceSmartPremium #Bali";5.0;0.0;5.0;3.401360544217687E-4;;2.077878901217637E-4;0.0;UCVShqCtSt3h5oxcY7FjAmKA;VtvnC6O_P9I;http://www.youtube.com/watch?v=VtvnC6O_P9I;https://i.ytimg.com/vi/VtvnC6O_P9I/mqdefault.jpg;
23/06/2026, 14:56;"DUNLOP Tyre Indonesia";"BALI! 🌴💙Day 4 of the Blue Response Fair is ON!We’re keeping the energy high and your journey safe.
BALI! 🌴💙
Day 4 of the Blue Response Fair is ON!
We’re keeping the energy high and your journey safe. 

Swing by today for a FREE tyre check and discover the superior performance of the all-new DUNLOP Blue Response TG

📍 Catch us across Bali for exclusive promotions, fun activities, and unbeatable deals you won't want to miss.

The road to better driving starts here—come say hi and let’s get your ride ready for the adventure ahead! 🚗💨

#DUNLOP #BlueResponseFair #BlueResponseTG #SmartChoiceSmartPremium #BRFairOnTheMove #Bali #DriveSafe";1.0;0.0;1.0;6.802721088435374E-5;;5.780680964217585E-5;0.0;UCVShqCtSt3h5oxcY7FjAmKA;MCkb-9u5F_8;http://www.youtube.com/watch?v=MCkb-9u5F_8;https://i.ytimg.com/vi/MCkb-9u5F_8/mqdefault.jpg;
23/06/2026, 11:36;"DUNLOP Tyre Indonesia";"BALI! 🌴💙Day 4 of the Blue Response Fair is ON!We’re keeping the energy high and your journey safe.
Day 4 of the DUNLOP Blue Response Fair Bali is officially rolling! 🔥

Antusiasme terus bertambah, semakin banyak pengendara yang memanfaatkan FREE Tyre Check, mencoba pengalaman langsung dengan DUNLOP Blue Response TG, dan menikmati berbagai aktivitas seru di lokasi.

Masih ada kesempatan untuk bergabung hingga 26 Juni 2026. Datang ke DUNLOP Shop terdekat di Bali, cek kondisi ban kendaraanmu, nikmati promo spesial, dan rasakan sendiri performa Smart Choice, Smart Premium.

📍 Bali
🗓️ 20–26 Juni 2026

See you at the DUNLOP Blue Response Fair! 

#DUNLOP #BanDUNLOP #BlueResponseFair #BlueResponseTG #BRFairOnTheMove #SmartChoiceSmartPremium #Bali";3.0;0.0;3.0;2.0408163265306123E-4;;2.0157226365652087E-4;0.0;UCVShqCtSt3h5oxcY7FjAmKA;3UyCpFl-CZI;http://www.youtube.com/watch?v=3UyCpFl-CZI;https://i.ytimg.com/vi/3UyCpFl-CZI/mqdefault.jpg;
23/06/2026, 11:33;"DUNLOP Tyre Indonesia";"BALI! 🌴💙Day 4 of the Blue Response Fair is ON!We’re keeping the energy high and your journey safe.
BALI! 🌴💙

Day 4 of the Blue Response Fair is ON!
We’re keeping the energy high and your journey safe. Swing by today for a FREE tyre check and discover the superior performance of the all-new DUNLOP Blue Response TG.

📍 Catch us across Bali for exclusive promotions, fun activities, and unbeatable deals you won't want to miss.

The road to better driving starts here—come say hi and let’s get your ride ready for the adventure ahead! 🚗💨

#DUNLOP #BlueResponseFair #BlueResponseTG #SmartChoiceSmartPremium #BRFairOnTheMove #Bali #DriveSafe";2.0;0.0;2.0;1.3605442176870748E-4;;1.6590626296142678E-4;0.0;UCVShqCtSt3h5oxcY7FjAmKA;_FLun4u9pFE;http://www.youtube.com/watch?v=_FLun4u9pFE;https://i.ytimg.com/vi/_FLun4u9pFE/mqdefault.jpg;
23/06/2026, 11:33;"DUNLOP Tyre Indonesia";"23 June 2026
";4.0;0.0;4.0;2.7210884353741496E-4;;4.245383145828911E-4;0.0;UCVShqCtSt3h5oxcY7FjAmKA;yEe1dhzELaU;http://www.youtube.com/watch?v=yEe1dhzELaU;https://i.ytimg.com/vi/yEe1dhzELaU/mqdefault.jpg;
