"Awal pelaporan","Akhir pelaporan","Nama iklan",Platform,Penempatan,"Platform Perangkat","Penayangan iklan",Hasil,"Indikator Hasil","Biaya per Hasil","Anggaran Set Iklan","Jenis Anggaran Set Iklan","Jumlah yang dibelanjakan (IDR)",Impresi,Jangkauan,Berakhir,"Pengaturan atribusi",Tawaran,"Jenis tawaran","Editan Signifikan Terakhir","Peringkat kualitas","Peringkat nilai interaksi","Peringkat nilai konversi","Nama set iklan",Reaction/Reach,"Interaksi postingan","Klik tautan","CTR (rasio klik tayang tautan)",Frekuensi,"Pengikut Instagram","Interaksi Halaman","Hasil (awal)","Indikator hasil (awal)"
2026-07-01,2026-07-31,,,,,0,,,,0,0,5425798,2404070,1513909,,"Pengaturan Beberapa Atribusi",0,0,0,-,-,-,,,,,,1.587988,0,,,
2026-07-01,2026-07-31,"Momen Proper",Facebook,"Kabar profil Facebook","Di aplikasi",not_delivering,1,reach,1000,30000,Harian,1,1,1,Berlangsung,"Klik 7 hari atau tayangan 1 hari",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0,,,,1,0,,,
2026-07-01,2026-07-31,"Momen Proper",Facebook,"Facebook Reels","Di aplikasi",not_delivering,53787,reach,1506.18179114,30000,Harian,81013,56615,53787,Berlangsung,"Klik 7 hari atau tayangan 1 hari",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0.00031606,17,,,1.052578,0,17,,
2026-07-01,2026-07-31,"Momen Proper",Facebook,"Iklan di Facebook Reels","Di aplikasi",not_delivering,3256,reach,1050.98280098,30000,Harian,3422,3256,3256,Berlangsung,"Klik 7 hari atau tayangan 1 hari",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0,,,,1,0,,,
2026-07-01,2026-07-31,"Momen Proper",Facebook,"Facebook Stories","Di aplikasi",not_delivering,1646,reach,1356.62211422,30000,Harian,2233,1671,1646,Berlangsung,"Klik 7 hari atau tayangan 1 hari",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0,,,,1.015188,0,,,
2026-07-01,2026-07-31,"Momen Proper",Facebook,Kabar,Desktop,not_delivering,30,reach,1600,30000,Harian,48,31,30,Berlangsung,"Klik 7 hari atau tayangan 1 hari",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0,,,,1.033333,0,,,
2026-07-01,2026-07-31,"Momen Proper",Facebook,Kabar,"Di aplikasi",not_delivering,8414,reach,1532.68362253,30000,Harian,12896,8844,8414,Berlangsung,"Klik 7 hari atau tayangan 1 hari",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0,9,,,1.051105,0,9,,
2026-07-01,2026-07-31,"Momen Proper",Facebook,Kabar,"Web Seluler",not_delivering,133,reach,1511.27819549,30000,Harian,201,141,133,Berlangsung,"Klik 7 hari atau tayangan 1 hari",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0,,,,1.06015,0,,,
2026-07-01,2026-07-31,"Momen Proper",Facebook,"Reels in-stream","Di aplikasi",not_delivering,288,reach,1375,30000,Harian,396,292,288,Berlangsung,"Klik 7 hari atau tayangan 1 hari",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0,,,,1.013889,0,,,
2026-07-01,2026-07-31,"Momen Proper",Facebook,Marketplace,Desktop,not_delivering,58,reach,1482.75862069,30000,Harian,86,67,58,Berlangsung,"Klik 7 hari atau tayangan 1 hari",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0,,,,1.155172,0,,,
