"Awal pelaporan","Akhir pelaporan","Nama iklan","Penayangan iklan",Hasil,"Indikator Hasil","Biaya per Hasil","Anggaran Set Iklan","Jenis Anggaran Set Iklan","Jumlah yang dibelanjakan (IDR)",Impresi,Jangkauan,Berakhir,"Pengaturan atribusi",Tawaran,"Jenis tawaran","Editan Signifikan Terakhir","Peringkat kualitas","Peringkat nilai interaksi","Peringkat nilai konversi","Nama set iklan",Reaction/Reach,"Interaksi postingan","Klik tautan","CTR (rasio klik tayang tautan)",Frekuensi,"Pengikut Instagram","Interaksi Halaman","Hasil (awal)","Indikator hasil (awal)"
2026-07-01,2026-07-31,,0,,,,0,0,5425798,2404070,1513909,,"Pengaturan Beberapa Atribusi",0,0,0,-,-,-,,,,,,1.587988,0,,,
2026-07-01,2026-07-31,"Momen Proper",not_delivering,83090,reach,1484.22192803,30000,Harian,123324,86914,83090,Berlangsung,"Klik 7 hari atau tayangan 1 hari",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,"Di atas rata-rata",-,-,"Micro Targeting A+",0.00021663,27,,,1.046022,0,27,,
2026-07-01,2026-07-31,"Child Dulu",not_delivering,0,reach,,30000,Harian,0,0,0,Berlangsung,"Klik 7 hari atau tayangan 1 hari",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",,,,,0,0,,,
2026-07-01,2026-07-31,"Momen Proper",not_delivering,4,actions:post_interaction_gross,55.75,30000,Harian,223,6,6,Berlangsung,"Klik 7 hari atau tayangan 1 hari",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",0.66666667,4,,,1,0,4,,
2026-07-01,2026-07-31,"Child Dulu",not_delivering,,,,30000,Harian,0,0,0,Berlangsung,"Klik 7 hari atau tayangan 1 hari",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",,,,,0,0,,,
2026-07-01,2026-07-31,"Tim Kopi atau Teh",not_delivering,8,actions:post_interaction_gross,72.75,30000,Harian,582,16,15,Berlangsung,"Klik 7 hari atau tayangan 1 hari",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",0.46666667,8,,,1.066667,0,8,,
2026-07-01,2026-07-31,"Dapet Kerjaan di Luar Jobdesk",inactive,154,actions:post_interaction_gross,1630.11038961,30000,Harian,251037,43250,41110,Berlangsung,"Klik 7 hari atau tayangan 1 hari",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,Rata-rata,"Di bawah rata-rata - 35% iklan terbawah","Di atas rata-rata","Micro Targeting A+",0.0036001,23713,,,1.052055,0,23713,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",not_delivering,4068,reach,1382.98918387,30000,Harian,5626,4136,4068,Berlangsung,"Klik 7 hari atau tayangan 1 hari",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0.00024582,2,,,1.016716,0,2,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",inactive,191720,reach,1820.4517004,50000,Harian,349017,258756,191720,Berlangsung,"Klik 7 hari atau tayangan 1 hari",0,ABSOLUTE_OCPM,2026-07-24T11:29:11+0700,"Di atas rata-rata",-,-,"Micro Targeting A+",0.00040163,130,5,0.001932,1.349656,0,130,,
2026-07-01,2026-07-31,"Nobar Bola",inactive,10638,reach,1520.11656326,50000,Harian,16171,11158,10638,Berlangsung,"Klik 7 hari atau tayangan 1 hari",0,ABSOLUTE_OCPM,2026-07-24T11:29:11+0700,Rata-rata,-,-,"Micro Targeting A+",0.00018801,6,,,1.048881,0,6,,
2026-07-01,2026-07-31,"Dapet Kerjaan Di Luar Jobdesk",not_delivering,4,profile_visit_view,717.5,"Menggunakan anggaran kampanye",0,2870,96,95,Berlangsung,"Klik 1 hari",0,ABSOLUTE_OCPM,2026-06-27T07:38:25+0700,-,-,-,"Broad A+",0,48,4,4.166667,1.010526,0,48,,
2026-07-01,2026-07-31,"Nobar Bola Pakai Bourbon",not_delivering,1613,profile_visit_view,348.90142591,"Menggunakan anggaran kampanye",0,562778,156492,130766,Berlangsung,"Klik 1 hari",0,ABSOLUTE_OCPM,2026-06-27T07:38:25+0700,Rata-rata,-,-,"Broad A+",0.00084884,1751,1637,1.04606,1.196733,8,1753,,
2026-07-01,2026-07-31,"Aldi Taher",inactive,5377,profile_visit_view,317.60293844,"Menggunakan anggaran kampanye",0,1707751,360916,283288,Berlangsung,"Klik 1 hari",0,ABSOLUTE_OCPM,2026-06-27T07:38:25+0700,Rata-rata,-,-,"Broad A+",0.00091779,5697,5409,1.498687,1.274025,8,5697,,
2026-07-01,2026-07-31,"Aldi Taher",inactive,482552,reach,2400.28017706,50000,Harian,1158260,838762,482552,Berlangsung,"Klik 7 hari atau tayangan 1 hari",0,ABSOLUTE_OCPM,2026-07-24T11:29:11+0700,Rata-rata,-,-,"Micro Targeting A+",0.00069423,379,13,0.00155,1.73818,0,379,,
2026-07-01,2026-07-31,"Aldi Taher",inactive,276693,reach,1471.18286332,30000,Harian,407066,313176,276693,Berlangsung,"Klik 7 hari atau tayangan 1 hari",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,Rata-rata,-,-,"Micro Targeting A+",0.00032527,112,8,0.002554,1.131854,0,112,,
2026-07-01,2026-07-31,"Aldi Taher",inactive,98,actions:post_interaction_gross,69.29591837,30000,Harian,6791,392,337,Berlangsung,"Klik 7 hari atau tayangan 1 hari",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",0.27596439,98,,,1.163205,0,98,,
2026-07-01,2026-07-31,"Dengar Notif WhatsApp",not_delivering,31022,reach,1636.06472826,50000,Harian,50754,34331,31022,Berlangsung,"Klik 7 hari atau tayangan 1 hari",0,ABSOLUTE_OCPM,2026-07-24T11:29:11+0700,"Di atas rata-rata",-,-,"Micro Targeting A+",0.00025788,1841,,,1.106666,0,1841,,
2026-07-01,2026-07-31,"Mau Healing",not_delivering,187279,reach,1987.28100855,50000,Harian,372176,253682,187279,Berlangsung,"Klik 7 hari atau tayangan 1 hari",0,ABSOLUTE_OCPM,2026-07-24T11:29:11+0700,"Di atas rata-rata",-,-,"Micro Targeting A+",0.0002563,10172,,,1.354567,0,10172,,
2026-07-01,2026-07-31,"Pulang Tenggo",not_delivering,19427,reach,1538.11705359,50000,Harian,29881,20376,19427,Berlangsung,"Klik 7 hari atau tayangan 1 hari",0,ABSOLUTE_OCPM,2026-07-24T11:29:11+0700,Rata-rata,-,-,"Micro Targeting A+",0.00010295,703,,,1.04885,0,703,,
2026-07-01,2026-07-31,"Dengar Notif WhatsApp",not_delivering,25,profile_visit_view,371.12,50000,Harian,9278,612,553,Berlangsung,"Klik 1 hari",0,ABSOLUTE_OCPM,2026-07-24T11:35:26+0700,Rata-rata,-,-,"Micro Targeting A+",0.00361664,187,25,4.084967,1.106691,0,187,,
2026-07-01,2026-07-31,"Mau Healing",not_delivering,11,profile_visit_view,828,50000,Harian,9108,508,457,Berlangsung,"Klik 1 hari",0,ABSOLUTE_OCPM,2026-07-24T11:35:26+0700,"Di bawah rata-rata - 35% iklan terbawah",-,-,"Micro Targeting A+",0,131,9,1.771654,1.111597,3,131,,
2026-07-01,2026-07-31,"Pulang Tenggo",not_delivering,537,profile_visit_view,346.5735568,50000,Harian,186110,9865,9021,Berlangsung,"Klik 1 hari",0,ABSOLUTE_OCPM,2026-07-24T11:35:26+0700,Rata-rata,-,-,"Micro Targeting A+",0.00321472,4662,542,5.494171,1.093559,8,4662,,
2026-07-01,2026-07-31,"Setiap Rasa",not_delivering,452,profile_visit_view,381.54424779,50000,Harian,172458,10346,7856,Berlangsung,"Klik 1 hari",0,ABSOLUTE_OCPM,2026-07-24T11:35:26+0700,"Di bawah rata-rata - 35% iklan terbawah",-,-,"Micro Targeting A+",0.01552953,615,450,4.349507,1.316955,122,615,,
2026-07-01,2026-07-31,"Ngumpung Bareng Temen",not_delivering,15,profile_visit_view,302.46666667,50000,Harian,4537,280,263,Berlangsung,"Klik 1 hari",0,ABSOLUTE_OCPM,2026-07-24T11:35:26+0700,-,-,-,"Micro Targeting A+",0,18,16,5.714286,1.064639,0,18,,
