"Reporting starts","Reporting ends","Ad name",Age,Gender,"Ad delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (IDR)",Impressions,Reach,Ends,"Attribution setting",Bid,"Bid type","Last significant edit","Quality ranking","Engagement rate ranking","Conversion rate ranking","Ad set name",Reaction/Reach,"Post engagements","Link clicks","CTR (link click-through rate)",Frequency,"Instagram follows","Page engagement","Results (initial)","Results (initial) indicator"
2026-07-01,2026-07-31,"Momen Proper",18-24,female,not_delivering,2119,reach,1449.74044361,30000,Daily,3072,2162,2119,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0,,,,1.020293,0,,,
2026-07-01,2026-07-31,"Momen Proper",18-24,male,not_delivering,5212,reach,1506.71527245,30000,Daily,7853,5474,5212,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0,,,,1.050269,0,,,
2026-07-01,2026-07-31,"Momen Proper",18-24,unknown,not_delivering,50,reach,1500,30000,Daily,75,50,50,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0,,,,1,0,,,
2026-07-01,2026-07-31,"Momen Proper",25-34,female,not_delivering,5000,reach,1416.4,30000,Daily,7082,5000,5000,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0,,,,1,0,,,
2026-07-01,2026-07-31,"Momen Proper",25-34,male,not_delivering,18142,reach,1491.07044427,30000,Daily,27051,18958,18142,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0.00011024,5,,,1.044979,0,5,,
2026-07-01,2026-07-31,"Momen Proper",25-34,unknown,not_delivering,131,reach,1480.91603053,30000,Daily,194,136,131,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0,,,,1.038168,0,,,
2026-07-01,2026-07-31,"Momen Proper",35-44,female,not_delivering,3890,reach,1407.71208226,30000,Daily,5476,3890,3890,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0,,,,1,0,,,
2026-07-01,2026-07-31,"Momen Proper",35-44,male,not_delivering,14342,reach,1474.55027193,30000,Daily,21148,14840,14342,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0.00020918,5,,,1.034723,0,5,,
2026-07-01,2026-07-31,"Momen Proper",35-44,unknown,not_delivering,66,reach,1393.93939394,30000,Daily,92,70,66,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0,,,,1.060606,0,,,
2026-07-01,2026-07-31,"Momen Proper",45-54,female,not_delivering,5211,reach,1446.55536365,30000,Daily,7538,5293,5211,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0.00076761,6,,,1.015736,0,6,,
