"Reporting starts","Reporting ends","Ad name",Region,"Ad delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (IDR)",Impressions,Reach,Ends,"Attribution setting",Bid,"Bid type","Last significant edit","Quality ranking","Engagement rate ranking","Conversion rate ranking","Ad set name",Reaction/Reach,"Post engagements","Link clicks","CTR (link click-through rate)",Frequency,"Instagram follows","Page engagement","Results (initial)","Results (initial) indicator"
2026-07-01,2026-07-31,"Momen Proper",Unknown,not_delivering,22,reach,1409.09090909,30000,Daily,31,22,22,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Micro Targeting A+",0,,,,1,0,,,
2026-07-01,2026-07-31,"Momen Proper",Aceh,not_delivering,1593,reach,1440.6779661,30000,Daily,2295,1618,1593,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Micro Targeting A+",0,,,,1.015694,0,,,
2026-07-01,2026-07-31,"Momen Proper",Bali,not_delivering,1054,reach,1432.63757116,30000,Daily,1510,1085,1054,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Micro Targeting A+",0,,,,1.029412,0,,,
2026-07-01,2026-07-31,"Momen Proper",Bengkulu,not_delivering,1593,reach,1493.4086629,30000,Daily,2379,1685,1593,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Micro Targeting A+",0.00062775,1,,,1.057753,0,1,,
2026-07-01,2026-07-31,"Momen Proper",Jakarta,not_delivering,1112,reach,1427.15827338,30000,Daily,1587,1145,1112,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Micro Targeting A+",0,,,,1.029676,0,,,
2026-07-01,2026-07-31,"Momen Proper",Jambi,not_delivering,1975,reach,1449.62025316,30000,Daily,2863,1992,1975,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Micro Targeting A+",0,,,,1.008608,0,,,
2026-07-01,2026-07-31,"Momen Proper","Central Java",not_delivering,9698,reach,1478.13982264,30000,Daily,14335,10010,9698,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Micro Targeting A+",0,1,,,1.032172,0,1,,
2026-07-01,2026-07-31,"Momen Proper","East Java",not_delivering,7634,reach,1444.85197799,30000,Daily,11030,7786,7634,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Micro Targeting A+",0.00026199,3,,,1.019911,0,3,,
2026-07-01,2026-07-31,"Momen Proper","Papua (province)",not_delivering,898,reach,1477.72828508,30000,Daily,1327,940,898,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Micro Targeting A+",0,,,,1.046771,0,,,
2026-07-01,2026-07-31,"Momen Proper","Special Region of Yogyakarta",not_delivering,1044,reach,1499.04214559,30000,Daily,1565,1083,1044,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Micro Targeting A+",0,,,,1.037356,0,,,
2026-07-01,2026-07-31,"Momen Proper","West Kalimantan",not_delivering,1975,reach,1472.40506329,30000,Daily,2908,2044,1975,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Micro Targeting A+",0.00050633,1,,,1.034937,0,1,,
2026-07-01,2026-07-31,"Momen Proper","South Kalimantan",not_delivering,1468,reach,1472.7520436,30000,Daily,2162,1525,1468,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Micro Targeting A+",0.0006812,1,,,1.038828,0,1,,
2026-07-01,2026-07-31,"Momen Proper","Central Kalimantan",not_delivering,1198,reach,1430.71786311,30000,Daily,1714,1235,1198,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Micro Targeting A+",0,,,,1.030885,0,,,
2026-07-01,2026-07-31,"Momen Proper","East Kalimantan",not_delivering,1896,reach,1464.66244726,30000,Daily,2777,1970,1896,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Micro Targeting A+",0.00052743,1,,,1.03903,0,1,,
2026-07-01,2026-07-31,"Momen Proper",Lampung,not_delivering,3249,reach,1418.28254848,30000,Daily,4608,3261,3249,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Micro Targeting A+",0,,,,1.003693,0,,,
2026-07-01,2026-07-31,"Momen Proper","West Nusa Tenggara",not_delivering,2047,reach,1516.3654128,30000,Daily,3104,2152,2047,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Micro Targeting A+",0,1,,,1.051295,0,1,,
2026-07-01,2026-07-31,"Momen Proper","East Nusa Tenggara",not_delivering,2378,reach,1452.48107653,30000,Daily,3454,2414,2378,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Micro Targeting A+",0.00084104,3,,,1.015139,0,3,,
2026-07-01,2026-07-31,"Momen Proper",Riau,not_delivering,2838,reach,1468.99224806,30000,Daily,4169,2964,2838,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Micro Targeting A+",0.00070472,2,,,1.044397,0,2,,
