Profile;Social network;Follower;Number of posts;Engagement;Number of Likes;Number of comments;Profile-ID;Link;Image Link;
"PT Prima Armada Raya";INSTAGRAM;11354.0;20.0;0.011130495533331702;3327.0;87.0;9601763952;https://app.fanpagekarma.com/discovery/INSTAGRAM/9601763952;https://scontent-ord5-3.xx.fbcdn.net/v/t51.2885-15/267098054_1354226301714120_8446300292938622154_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=7d201b&_nc_eui2=AeHOEkENkhdUqegIcwB6OIOIEPqc_E4VUq4Q-pz8ThVSrrjDwW3mHVjBCIuOCGEHCOQbUxQq9vvi_-11KNRPMy3k&_nc_ohc=JJ4zYsiTzZoQ7kNvwHDb9es&_nc_oc=AdpQyP42kVM-WFZjuAtXoJJ-ZyHMYv_nzsZSCMXgHktxEt_dd5AFf_fpxTl5r016l_k&_nc_zt=23&_nc_ht=scontent-ord5-3.xx&edm=AL-3X8kEAAAA&oh=00_AQDJ5HKUFbWtxHDfJ8DZ0gshkmlZvLV9jJza2NyzkdDd2w&oe=6A4A3D4B;
"TRAC Rental Mobil dan Bus";INSTAGRAM;80980.0;17.0;0.0015788965930705451;2493.0;885.0;2114028357;https://app.fanpagekarma.com/discovery/INSTAGRAM/2114028357;https://scontent-ord5-1.xx.fbcdn.net/v/t51.75761-15/514106053_18491535256068358_5753801692512198793_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=7d201b&_nc_eui2=AeF4Gxkj4YyNgl2EZY0CGvOlFds8EooKqdIV2zwSigqp0lh7kRTgNt0TMOTmPf6DzL8yQiz9wbMwXCwlRPApRJn0&_nc_ohc=yx2NSQ_Kk6kQ7kNvwEdPtuP&_nc_oc=AdoTz2w3SZPkpH3WwFK0cUIQthbgxsV0R0r0yLbGknWbPV6IUqzmBHrhghCQsoYT8TY&_nc_zt=23&_nc_ht=scontent-ord5-1.xx&edm=AL-3X8kEAAAA&_nc_gid=5OY0Hd4H2eMYV21Budblog&oh=00_AQAlLVDWl4aHADgXJe_tA2sgNThr5I7pP4g2M7yhv-AnIg&oe=6A4A3374;
"MPM RENT";INSTAGRAM;12629.0;14.0;0.0020823249268471806;670.0;19.0;5355318560;https://app.fanpagekarma.com/discovery/INSTAGRAM/5355318560;https://scontent-ord5-3.xx.fbcdn.net/v/t51.2885-15/194405033_172820591515681_2239427722474075790_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=7d201b&_nc_eui2=AeGuWKAnzWl-7YiT35Ec4sfPWrpmkJze8vxaumaQnN7y_MjzpUimAAwNkqdeXhUK7baurrZpQHXPONHRiqKAL9dI&_nc_ohc=LdGD9z4csc0Q7kNvwFZCwLR&_nc_oc=Adquc1ojvQxCq7laTYD_lz8nOP77AEVh00iM26kQ7zonZq9MpZucX9FgjAuf_IAyKTk&_nc_zt=23&_nc_ht=scontent-ord5-3.xx&edm=AL-3X8kEAAAA&oh=00_AQA68nlwAHW0I88kEBYnsCMv-YDWL8WS8J_B2AT36JRPEA&oe=6A4A3D17;
"pratamamitra.id";INSTAGRAM;13620.0;11.0;8.228045997291195E-4;293.0;9.0;9277461910;https://app.fanpagekarma.com/discovery/INSTAGRAM/9277461910;https://scontent-ord5-1.xx.fbcdn.net/v/t51.82787-15/713423830_18231826294309911_4742242293907229492_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=7d201b&_nc_ohc=BVr3wI_3-ewQ7kNvwH4Lzm5&_nc_oc=AdodiSSjuJnudHDYetmrTiD7JLveFDuGlhtBQKeh8G29diSVrjF3f-HGoDOdZCZN0WY&_nc_zt=23&_nc_ht=scontent-ord5-1.xx&edm=AL-3X8kEAAAA&_nc_gid=XNP31Zt5Gik5K0f9E95yoQ&oh=00_AQAbwORw1orF4s_Zgsf0_ILQwkFYJPdDd25K2H_rfDd3QA&oe=6A4A1DA2;
"par.co.id";TIKTOK;25746.0;5.0;3.020864387316698E-4;201.0;6.0;7320535411884147718;https://app.fanpagekarma.com/discovery/TIKTOK/7320535411884147718;https://storage-download.googleapis.com/networkimage/tt/7320535411884147718/avatar_7320535411884147718.jpg;
"Prima Armada Raya";FACEBOOK;2802.0;21.0;0.0024742006280550517;182.0;2.0;211065008758674;https://app.fanpagekarma.com/discovery/FACEBOOK/211065008758674;https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-1/420444029_10232138641877374_6029619758254727285_n.jpg?stp=cp0_dst-jpg_s50x50_tt6&_nc_cat=104&ccb=1-7&_nc_sid=f907e8&_nc_eui2=AeE6axAH3rWlnANhxy-SS8X77sv9hlxTOkXuy_2GXFM6RfOcFwAKoZ7SXOVTI1m8I9m22ASg-qX5jyBUxzJcWj4o&_nc_ohc=Ozh8Tco5uk4Q7kNvwE0vGNv&_nc_oc=Adqdyn1eOb816M687WJ9tgzvFPIrWRr9Qk01znABtLMZmAdE2sFYmhbEpZSCO-oKB_U&_nc_zt=24&_nc_ht=scontent-ord5-2.xx&edm=AGaHXAAEAAAA&_nc_gid=8fUOpTTnBOMMXwMCS1-ZEg&_nc_tpa=Q5bMBQESObKGgNELrgcd3VJhatVA_TM8zyCM8H_Kg9T-6bMYcsWX9ak3nNrVCaiYXrfsZXi4MjODlqEZ&oh=00_AQCB5u-djwkWPycbRWKALLTHCUHSQHD-91wZkG8dFgjjKw&oe=6A4A7598;
"TRAC Rental";TIKTOK;34100.0;16.0;2.1434864524710334E-4;175.0;13.0;6978402907658273793;https://app.fanpagekarma.com/discovery/TIKTOK/6978402907658273793;https://storage-download.googleapis.com/networkimage/tt/6978402907658273793/avatar_6978402907658273793.jpg;
"MPMRent";TIKTOK;1044.0;8.0;0.0059506491133072105;151.0;7.0;7074774441296790529;https://app.fanpagekarma.com/discovery/TIKTOK/7074774441296790529;https://storage-download.googleapis.com/networkimage/tt/7074774441296790529/avatar_7074774441296790529.jpg;
"TRAC Rental Mobil dan Bus";YOUTUBE;2240.0;13.0;;62.0;0.0;UC-9jLt-k0R30YzImXxnn6PQ;https://app.fanpagekarma.com/discovery/YOUTUBE/UC-9jLt-k0R30YzImXxnn6PQ;https://yt3.ggpht.com/mHxfs-CoFxfr2AO-jqMr_LGxMCoOaAhPcTubpNoJAR25W7tg0niLxYovMH4qdgwKWg9VKMi7=s240-c-k-c0x00ffffff-no-rj;
"TRAC-Astra Rent a Car";FACEBOOK;27817.0;31.0;7.944413369256646E-5;50.0;3.0;375357919323653;https://app.fanpagekarma.com/discovery/FACEBOOK/375357919323653;https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-1/358661198_607009751566765_8665041004019917360_n.png?stp=dst-png_s200x200&_nc_cat=106&ccb=1-7&_nc_sid=f907e8&_nc_ohc=DuR45amEWmsQ7kNvwGcOTbB&_nc_oc=AdrN8OZVj8aszcCuvtxEmsskKfMsleFyQRHHoZSwdYkPrul-gAwfRc0nETE7kwnoCPA&_nc_zt=24&_nc_ht=scontent-ord5-1.xx&edm=AJdBtusEAAAA&_nc_gid=3kbcWTaEq2utBeI38jsFng&_nc_tpa=Q5bMBQG3E0Zyd7ga6CzJQJ-5zlSiP6h4s6SRNu9ObLyIhTg3h2U-CPpBU06CH7MXY45RQLKKSAd4PyYA&oh=00_AQBFNh0pxoBKtCA7xuP1tDhmI6YB-InPiKaIKiTGDFuifw&oe=6A4A5244;
