Date;Profile;Message;Number of Likes;Number of comments;Reactions, Comments & Shares;Post interaction rate;Reach per post;Interactions per impression/view;Impressions/views per post;Engagement;Story reach;Story views;Story replies;Story shares;Number of new followers based on the story;Profile visits based on the story;Impressions/views of posts;Profile-ID;Post-ID;Link;Image Link;
30/06/2026, 17:01;"PT Prima Armada Raya";"Jangan tunggu sampai mobil kasih “kode keras” baru diservis!

Perawatan rutin itu bukan cuma biar mobil tetap enak dipakai, tapi juga bikin perjalanan kamu lebih aman dan tenang setiap hari.

Kamu pilih yang mana?

Prima Auto Care, bantu kamu jaga mobil tetap prima, sebelum jadi masalah.

#MelayaniSepenuhHatiDenganPRIMA #AlwaysPRIMA #SelaluPrima #PARMemberOfPertamina";11.0;0.0;12.0;0.0010568962480183195;108.0;0.05853658536585366;205.0;0.0010568962480183195;;;;;;;205.0;9601763952;18273219511288275;https://www.instagram.com/p/DaNLcoKFbRD/;https://scontent-ord5-2.cdninstagram.com/v/t39.30808-6/728950802_122290301948190187_7546917124399773395_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=102&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiRkVFRC5iZXN0X2ltYWdlX3VybGdlbi5DMyJ9&_nc_eui2=AeEpnmFam_Pk4jPrbwolDwdtg0d-YIywA_qDR35gjLAD-rRuf4AKXoZLrFO8LthaK95hEWSPVf6wiFqTM5F8fipt&_nc_ohc=7CMrm2P_JjoQ7kNvwHgTBFR&_nc_oc=AdperejKCrP3WeLy8t2t6uD35HBhle84A65__-e_Ow8u8p_sPS6FxZmcfOt9v3xEfoA&_nc_zt=23&_nc_ht=scontent-ord5-2.cdninstagram.com&edm=AM6HXa8EAAAA&_nc_gid=glEAO6fHSEP9GVSv963PUg&oh=00_AQCDgtBtsVzodRd1Akay5ermauyzx_N5dd1OqJBmvw30nQ&oe=6A4A3660;
29/06/2026, 20:18;"PT Prima Armada Raya";"Kami ingin mendengar masukan Sahabat Prima! 👋

Satu menit waktu Sahabat Prima sangat berharga untuk peningkatan kualitas layanan para pelanggan kami.

Komitmen kami adalah selalu melayani sepenuh hati dengan PRIMA, mari bersama-sama mendukung Prima Armada Raya (PAR) menjadi lebih aman, nyaman, dan selalu bisa diandalkan.

Caranya gampang:
1️⃣ Scan QR Code di atas.
2️⃣ Berikan penilaian dan masukan Anda.

Ditunggu partisipasinya ya, Sahabat Prima! Kepuasan Anda adalah prioritas utama kami. 🚗💨

#MelayaniSepenuhHatiDenganPRIMA #AlwaysPRIMA #SelaluPRIMA #PARMemberofPertamina";10.0;1.0;12.0;0.0010570824524312897;201.0;0.030690537084398978;391.0;0.0010570824524312897;;;;;;;391.0;9601763952;18116486326859540;https://www.instagram.com/p/DaK9NbamBhF/;https://scontent-ord5-1.cdninstagram.com/v/t39.30808-6/735636551_122290216382190187_1456787689709235260_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=111&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiRkVFRC5iZXN0X2ltYWdlX3VybGdlbi5DMyJ9&_nc_eui2=AeHPZgr49bVObuCm7eGu57NBUDAC79fHhKVQMALv18eEpbHH8K4R3l8QzYwX6q5D11WZI8iw3e2UPxuJA-SWpiCa&_nc_ohc=75zK6DXcb8MQ7kNvwFmoJwk&_nc_oc=AdrCm6xgjkkSg6s-xySC_Bugbu4tB0GlKE3f7wJc75zr5vYBpUt14WZC1v4ftUEaDVw&_nc_zt=23&_nc_ht=scontent-ord5-1.cdninstagram.com&edm=AEQ6tj4EAAAA&_nc_gid=6xFg8vhv7k9BB4M3OdxaYQ&oh=00_AQAKznhvIAYW8JqpIFe72iHi4NnU_5JZCi70GPnMyRAALQ&oe=6A4A3173;
28/06/2026, 08:00;"PT Prima Armada Raya";"“Boleh aku rekomendasiin ke partner bisnisku?”

Kalau sudah dipercaya, rekomendasi jadi hal yang paling natural.

Dengan layanan yang andal dan tim yang profesional, PAR siap jadi pilihan untuk kebutuhan transportasi bisnis #SahabatPRIMA

#MelayaniSepenuhHatiDenganPRIMA #AlwaysPRIMA #SelaluPrima #PARMemberOfPertamina";62.0;0.0;63.0;0.005553596614950635;1049.0;0.038181818181818185;1650.0;0.005553596614950635;;;;;;;1650.0;9601763952;18106922663472843;https://www.instagram.com/reel/DaHD-wTDZVQ/;https://scontent-ord5-3.cdninstagram.com/v/t51.82787-15/733149536_18221727217323953_3898832773423683788_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=107&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiQ0xJUFMuYmVzdF9pbWFnZV91cmxnZW4uQzMifQ%3D%3D&_nc_eui2=AeGf5sTP29MD6u2VGX6fpnmtjU5ha-yZUiiNTmFr7JlSKPlaf3rqZ5AeqwypN7PyZ7kJBDu9t9unaIFTyKDAkrQr&_nc_ohc=2l8RML5DOA8Q7kNvwHnuxKN&_nc_oc=AdqmC6gDiHRadweoi22xftdbdTT4AdEuDXydaIzn15BDY0hsKFi90mVi9GjO0LWvnoY&_nc_zt=23&_nc_ht=scontent-ord5-3.cdninstagram.com&edm=AEQ6tj4EAAAA&_nc_gid=UifCJSkZO5TXd9cp_dKyCw&_nc_tpa=Q5bMBQFQ3vOA3PzfQ1fFJL7wlilVdcerlWEbeBZDzL9J1uz4DUV6fY05gY8sH4ZuRghw2uv-cCbn9D6F&oh=00_AQAywNw2OkGgjoIysFErqtpH6OhOEQTG409kNC9guwTl-Q&oe=6A4A4CBD;
26/06/2026, 08:00;"PT Prima Armada Raya";"Pernah denger istilah rem ABS, tapi masih bingung sebenarnya itu apa?

ABS (Anti-lock Braking System) adalah sistem pengereman yang bantu mencegah roda terkunci saat kamu ngerem mendadak. Jadi mobil nggak langsung “ngeseret” tanpa arah, tapi tetap bisa dikendalikan. Fungsinya bukan cuma bikin mobil berhenti, tapi juga bantu kamu tetap bisa manuver kalau ada situasi darurat di jalan.

Simpel tapi penting banget buat keamanan berkendara

#MelayaniSepenuhHatiDenganPRIMA #AlwaysPRIMA #SelaluPrima #PARMemberOfPertamina";29.0;2.0;32.0;0.0028206258263552227;639.0;0.021220159151193633;1508.0;0.0028206258263552227;;;;;;;1508.0;9601763952;17943235353245040;https://www.instagram.com/p/DaB6XcZjMJz/;https://scontent-ord5-1.cdninstagram.com/v/t39.30808-6/731111163_122289371768190187_1924342819993647248_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=111&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiQ0FST1VTRUxfSVRFTS5iZXN0X2ltYWdlX3VybGdlbi5DMyJ9&_nc_eui2=AeE2hLni8MBlb104UKhC0fjls5NXBmzIGa2zk1cGbMgZrXRk-BVXcggeCBUk0kqEuW0ciURALj2ZCKC00K6WYEZQ&_nc_ohc=b6LQgnfRFJIQ7kNvwHF1LzP&_nc_oc=AdofSYCuV2GeBCdYhiHsg7oh_oR3TIW_p39PXIqyDe3m8PuVTGmHcUv1qhmMseHecrw&_nc_zt=23&_nc_ht=scontent-ord5-1.cdninstagram.com&edm=AEQ6tj4EAAAA&_nc_gid=C7-tDa22NM2HFxCCEknseg&oh=00_AQAGFxmQJ8B3uYPpDi7RIlU324KKnRShJa9ToBl4eNEZiA&oe=6A4A41B5;
24/06/2026, 18:00;"PT Prima Armada Raya";"Masih banyak yang ragu pindah ke mobil listrik karena info yang beredar nggak semuanya tepat.

Padahal kalau dilihat lebih dekat, beberapa “kekhawatiran” itu sudah nggak relevan lagi dengan kondisi sekarang. Infrastruktur terus berkembang, pilihan charging makin mudah ditemui, dan teknologi juga sudah jauh lebih siap untuk dipakai sehari-hari.

Sebelum percaya mitosnya, cek dulu faktanya 😉

#MelayaniSepenuhHatiDenganPRIMA #AlwaysPRIMA #SelaluPrima #PARMemberOfPertamina";18.0;1.0;21.0;0.001851525304179157;384.0;0.02158273381294964;973.0;0.001851525304179157;;;;;;;973.0;9601763952;17944770231237727;https://www.instagram.com/p/DZ91c6mDKIK/;https://scontent-ord5-1.cdninstagram.com/v/t39.30808-6/730313270_122289354662190187_8527236203090916180_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=108&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiQ0FST1VTRUxfSVRFTS5iZXN0X2ltYWdlX3VybGdlbi5DMyJ9&_nc_eui2=AeEVh1pdrS3mrpUalZImuFwrjXd1jYGIvKqNd3WNgYi8qhl4ApG-vmKyGO-hVUWGM5WY5tgeT82K7-SupvierwDc&_nc_ohc=lSQ1p6q9lLYQ7kNvwEbgG-d&_nc_oc=AdpwCY0C6o0Hn6nqqkXeIYREWIdBNqSYYYI46V2AO-G23dhW8W94rBgZxTZzRBFhXGw&_nc_zt=23&_nc_ht=scontent-ord5-1.cdninstagram.com&edm=AEQ6tj4EAAAA&_nc_gid=9g1ZPACXwj7WH2F6UDpQGA&oh=00_AQDvQOMi76MpJIJmXOUbXKyfuew3U07hMQaVD1ZG3zErGw&oe=6A4A2A92;
23/06/2026, 12:47;"PT Prima Armada Raya";"Kami ingin mendengar masukan Sahabat Prima! 👋

Satu menit waktu Sahabat Prima sangat berharga untuk peningkatan kualitas layanan para pelanggan kami.

Komitmen kami adalah selalu melayani sepenuh hati dengan PRIMA, mari bersama-sama mendukung Prima Armada Raya (PAR) menjadi lebih aman, nyaman, dan selalu bisa diandalkan.

Caranya gampang:
1️⃣ Scan QR Code di atas.
2️⃣ Berikan penilaian dan masukan Anda.

Ditunggu partisipasinya ya, Sahabat Prima! Kepuasan Anda adalah prioritas utama kami. 🚗💨

#MelayaniSepenuhHatiDenganPRIMA #AlwaysPRIMA #SelaluPRIMA #PARMemberofPertamina";28.0;7.0;38.0;0.0033497884344146685;353.0;0.05864197530864197;648.0;0.0033497884344146685;;;;;;;648.0;9601763952;18116094922667605;https://www.instagram.com/p/DZ6s1JEJmGN/;https://scontent-ord5-2.cdninstagram.com/v/t51.82787-15/728706990_18221195437323953_3625322992526922165_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=102&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiRkVFRC5iZXN0X2ltYWdlX3VybGdlbi5DMyJ9&_nc_eui2=AeEsDOudrgCxRnPecXz78MGdyU2LtE2b1gbJTYu0TZvWBoaUa6d3Pyi5DvyS79vUvAK9aASpfoBgk7stFfPkGrPZ&_nc_ohc=T22bu0i_GvMQ7kNvwH4vNk-&_nc_oc=AdpQtdyXPwxeezuMETGU-goVxOnqSn4JHskNByJLXUIxgMFDGYK21OudQscwjUuImS8&_nc_zt=23&_nc_ht=scontent-ord5-2.cdninstagram.com&edm=AEQ6tj4EAAAA&_nc_gid=GuOEnfHfdGaVIEJyQImv0Q&oh=00_Af8NLzH3NQ1-xd1YRQnzeyuFbzbeqtzSGqZOO2lfBajOjA&oe=6A479EEC;
18/06/2026, 17:50;"PT Prima Armada Raya";"Pengelolaan armada sering kali terasa kompleks, bukan karena jumlah kendaraan, tetapi karena sistem yang belum terintegrasi dengan kebutuhan operasional.

Data yang tersebar, koordinasi yang masih manual, hingga keterbatasan akses informasi dapat memperlambat proses dan menurunkan efisiensi kerja. Padahal, dengan sistem yang lebih terhubung, pengelolaan armada bisa menjadi jauh lebih sederhana, mulai dari koordinasi, monitoring, hingga pengambilan keputusan.

Melalui layanan seperti, perusahaan dapat mengelola armada secara lebih terstruktur, terintegrasi, dan selaras dengan kebutuhan bisnis.

#MelayaniSepenuhHatiDenganPRIMA #AlwaysPRIMA #SelaluPrima #PARMemberOfPertamina";33.0;16.0;51.0;0.004490622523553756;567.0;0.04025256511444357;1267.0;0.004490622523553756;;;;;;;1267.0;9601763952;18378457840202966;https://www.instagram.com/p/DZuXiWCGHmo/;https://scontent-ord5-2.cdninstagram.com/v/t39.30808-6/727050646_122288475956190187_842592211495454145_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=105&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiQ0FST1VTRUxfSVRFTS5iZXN0X2ltYWdlX3VybGdlbi5DMyJ9&_nc_eui2=AeHpb6fMJuPFwqO2NRyJW7DGcH5PkDLtlu1wfk-QMu2W7WElYpAF_WWuXbu9M3wo6yV4_tHJdXz2L24wHaZ6156Z&_nc_ohc=L1uWyV2ZKkkQ7kNvwFCwjYM&_nc_oc=AdpWXgWkz5JwPHUZwkuyRr1zCT2ClRYQdNmmixnwHtNz0aN7Ahs6tI2SIL5Zqo6Aeng&_nc_zt=23&_nc_ht=scontent-ord5-2.cdninstagram.com&edm=AEQ6tj4EAAAA&_nc_gid=BYYsdHZukTomN6DgP3DxWQ&oh=00_AQA-JplT40xf71rIS_Zp0nCfGws_T2o11tcIML2Fxuap6w&oe=6A4A3EA7;
15/06/2026, 13:01;"PT Prima Armada Raya";"Perjalanan bukan sekadar menuju tujuan, tapi bagaimana tetap nyaman dan produktif di setiap momen.

Bersama PAR, perjalanan jadi lebih tenang dan terjaga.

#MelayaniSepenuhHatiDenganPRIMA #AlwaysPRIMA #SelaluPrima #PARMemberOfPertamina";29.0;2.0;32.0;0.0028169014084507044;619.0;0.03278688524590164;976.0;0.0028169014084507044;;;;;;;976.0;9601763952;18443789071137276;https://www.instagram.com/reel/DZmID-5isif/;https://scontent-ord5-1.cdninstagram.com/v/t51.82787-15/728772130_18221961763323953_40128431066327638_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=108&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiQ0xJUFMuYmVzdF9pbWFnZV91cmxnZW4uQzMifQ%3D%3D&_nc_eui2=AeGP-JgH3FcAAxkt2ZL0XtMG8Waw7x0i7gHxZrDvHSLuAd1UhlfzqFjo2LZSkqiHGOOt1S7WetCPPChOG4B8AwBA&_nc_ohc=MagiMlj88mAQ7kNvwHcgG_B&_nc_oc=AdrD-peC9eFRiVErfOnDcFHX-LNvy1yYOWGTR9rM8CKEsDaslpgENr9MKzIPa4ASv_4&_nc_zt=23&_nc_ht=scontent-ord5-1.cdninstagram.com&edm=AEQ6tj4EAAAA&_nc_gid=czbLxSjX1zABfwrA6IesOw&_nc_tpa=Q5bMBQGleFVIxoXszLl_cc8_5AXK_hrJAu3rd8jWGjjhWa-nDaQmLmi6pIWtHuvvf1t1GUoLTqH50YNn&oh=00_AQBqoPbLKzF6VxhqJHHkTVPzAZo564Gj4rH03hLeG6lo7w&oe=6A4A2BA3;
13/06/2026, 14:00;"PT Prima Armada Raya";"Biaya maintenance yang tidak terkontrol dan kendaraan yang sering tidak siap pakai bisa berdampak langsung pada efisiensi operasional bisnis.

Tanpa sistem pengelolaan yang terstruktur, perusahaan berisiko menghadapi downtime tinggi, biaya tak terduga, hingga gangguan pada produktivitas.

Karena itu, pengelolaan armada perlu dilihat secara lebih strategis, bukan hanya perawatan, tetapi juga perencanaan, monitoring, dan efisiensi jangka panjang.
Melalui pendekatan terintegrasi seperti, perusahaan dapat mengelola kendaraan secara lebih optimal dan terencana.

#MelayaniSepenuhHatiDenganPRIMA #AlwaysPRIMA #SelaluPrima #PARMemberOfPertamina";26.0;0.0;27.0;0.0023721665788086453;438.0;0.026264591439688716;1028.0;0.0023721665788086453;;;;;;;1028.0;9601763952;18119886106743594;https://www.instagram.com/p/DZhFTjMiBuM/;https://scontent-ord5-1.cdninstagram.com/v/t39.30808-6/720450957_122287217732190187_5842433488535480057_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=101&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiQ0FST1VTRUxfSVRFTS5iZXN0X2ltYWdlX3VybGdlbi5DMyJ9&_nc_eui2=AeG6KfzRGDBKFAN1ZvtaCWTKkGa6Ys-Qp9WQZrpiz5Cn1VseFkayXqqYvRgw1YpZYPD3y1V71Vuw51c1R_ARNxzF&_nc_ohc=6H1WhKvtzTkQ7kNvwH1Yofn&_nc_oc=AdocessDBCmnXFl5Hit1asN25BimIf__V1z2efMdwMsgZaRrdLHQC1t2T44XAVW1JqA&_nc_zt=23&_nc_ht=scontent-ord5-1.cdninstagram.com&edm=AEQ6tj4EAAAA&_nc_gid=s8fsO12TQuj-Ie5aqb0wnA&oh=00_AQC7Bn5GW3fXZjN8lwp20E6LF38_JhK-UIE3f_yNP8nR0A&oe=6A4A44C1;
12/06/2026, 15:47;"PT Prima Armada Raya";"Eh, eh apa nih?

Mintanya apa malah dikasih apa, tapi fokusnya tetep ke car maintainance regular kita yang selalu rutin yaa!

#MelayaniSepenuhHatiDenganPRIMA #AlwaysPRIMA #SelaluPrima #PARMemberOfPertamina";44.0;3.0;49.0;0.0043027748507200566;770.0;0.041916167664670656;1169.0;0.0043027748507200566;;;;;;;1169.0;9601763952;17950251021178109;https://www.instagram.com/reel/DZesuouAdq2/;https://scontent-ord5-3.cdninstagram.com/v/t51.82787-15/722447650_18220026784323953_6935324627481052373_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=109&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiQ0xJUFMuYmVzdF9pbWFnZV91cmxnZW4uQzMifQ%3D%3D&_nc_eui2=AeEceKoSrgYoBD-OJloFmKA6ElOvtbDUtO0SU6-1sNS07YUbeiol3GwXu93CvnR1YcRUN_AfXoN2Tqn4gYz5BXFE&_nc_ohc=dVkXj24SHGgQ7kNvwH_62OV&_nc_oc=AdqoFfWs7ZsQUW4WGXaV6H7WdEUWjJeH0g_9BGZxRcsA_Gw8eP9VeDwWr3JcvK5R7Yg&_nc_zt=23&_nc_ht=scontent-ord5-3.cdninstagram.com&edm=AEQ6tj4EAAAA&_nc_gid=ZRX3X5jqDN1M2EoAWmxi4w&_nc_tpa=Q5bMBQHbhEj08lqxdTBwpNp7-1uHJLkWeZ_cyuTD7erWwIpPHqCidc6Raz8vq1y14S6biV9UouY5hq-9&oh=00_AQBYF8KIBpGPASYCUUC4sROf2pEN5aj3QLhEY3kHVwLgqQ&oe=6A4A40A0;
