Date;Profile;Message;Number of Likes;Number of comments;Reactions, Comments & Shares;Post interaction rate;Reach per post;Interactions per impression/view;Impressions/views per post;Engagement;Story reach;Story views;Story replies;Story shares;Number of new followers based on the story;Profile visits based on the story;Impressions/views of posts;Profile-ID;Post-ID;Link;Image Link;
30/06/2026, 19:04;"PT Prima Armada Raya";"-";0.0;0.0;0.0;0.0;;0.0;296.0;0.0;257.0;296.0;0.0;0.0;0.0;5.0;296.0;9601763952;18079951829245094_9601763952;https://www.instagram.com/stories/par.co.id/3930910549212519867;https://storage-download.googleapis.com/networkimage/i/9601763952/story_thumbnail_18079951829245094_9601763952.jpg;
29/06/2026, 17:30;"PT Prima Armada Raya";"-";0.0;0.0;0.0;0.0;;0.0;514.0;0.0;417.0;514.0;1.0;0.0;0.0;4.0;514.0;9601763952;18132107677555402_9601763952;https://www.instagram.com/stories/par.co.id/3930138185897914495;https://storage-download.googleapis.com/networkimage/i/9601763952/story_thumbnail_18132107677555402_9601763952.jpg;
29/06/2026, 10:00;"PT Prima Armada Raya";"-";0.0;0.0;0.0;0.0;;0.0;554.0;0.0;430.0;554.0;1.0;0.0;0.0;2.0;554.0;9601763952;18102902849119031_9601763952;https://www.instagram.com/stories/par.co.id/3929879249079413645;https://storage-download.googleapis.com/networkimage/i/9601763952/story_thumbnail_18102902849119031_9601763952.jpg;
29/06/2026, 07:00;"PT Prima Armada Raya";"-";0.0;0.0;0.0;0.0;;0.0;867.0;0.0;676.0;867.0;0.0;1.0;0.0;6.0;867.0;9601763952;18105257195284090_9601763952;https://www.instagram.com/stories/par.co.id/3929821180097795599;https://storage-download.googleapis.com/networkimage/i/9601763952/story_thumbnail_18105257195284090_9601763952.jpg;
27/06/2026, 13:44;"PT Prima Armada Raya";"-";0.0;0.0;0.0;0.0;;0.0;487.0;0.0;390.0;487.0;0.0;0.0;0.0;5.0;487.0;9601763952;18135290044570220_9601763952;https://www.instagram.com/stories/par.co.id/3928575268077456796;https://storage-download.googleapis.com/networkimage/i/9601763952/story_thumbnail_18135290044570220_9601763952.jpg;
26/06/2026, 10:51;"PT Prima Armada Raya";"-";0.0;0.0;0.0;0.0;;0.0;444.0;0.0;329.0;444.0;1.0;0.0;0.0;8.0;444.0;9601763952;18164342725453848_9601763952;https://www.instagram.com/stories/par.co.id/3927763220028579269;https://storage-download.googleapis.com/networkimage/i/9601763952/story_thumbnail_18164342725453848_9601763952.jpg;
26/06/2026, 10:50;"PT Prima Armada Raya";"-";0.0;0.0;0.0;0.0;;0.0;481.0;0.0;356.0;481.0;1.0;0.0;0.0;3.0;481.0;9601763952;18430996930126955_9601763952;https://www.instagram.com/stories/par.co.id/3927762660263278756;https://storage-download.googleapis.com/networkimage/i/9601763952/story_thumbnail_18430996930126955_9601763952.jpg;
26/06/2026, 10:00;"PT Prima Armada Raya";"-";0.0;0.0;0.0;0.0;;0.0;460.0;0.0;389.0;460.0;1.0;0.0;0.0;0.0;460.0;9601763952;18139987756544384_9601763952;https://www.instagram.com/stories/par.co.id/3927704861034573143;https://storage-download.googleapis.com/networkimage/i/9601763952/story_thumbnail_18139987756544384_9601763952.jpg;
24/06/2026, 15:41;"PT Prima Armada Raya";"-";0.0;0.0;0.0;0.0;;0.0;455.0;0.0;374.0;455.0;1.0;1.0;0.0;11.0;455.0;9601763952;17895419262498007_9601763952;https://www.instagram.com/stories/par.co.id/3926459599842526025;https://storage-download.googleapis.com/networkimage/i/9601763952/story_thumbnail_17895419262498007_9601763952.jpg;
23/06/2026, 12:49;"PT Prima Armada Raya";"-";0.0;0.0;0.0;0.0;;0.0;704.0;0.0;530.0;704.0;0.0;0.0;0.0;8.0;704.0;9601763952;18050385395547973_9601763952;https://www.instagram.com/stories/par.co.id/3925648522801944597;https://storage-download.googleapis.com/networkimage/i/9601763952/story_thumbnail_18050385395547973_9601763952.jpg;
22/06/2026, 10:00;"PT Prima Armada Raya";"-";0.0;0.0;0.0;0.0;;0.0;844.0;0.0;642.0;844.0;0.0;1.0;0.0;8.0;844.0;9601763952;18103963322078312_9601763952;https://www.instagram.com/stories/par.co.id/3924805689634145929;https://storage-download.googleapis.com/networkimage/i/9601763952/story_thumbnail_18103963322078312_9601763952.jpg;
22/06/2026, 09:57;"PT Prima Armada Raya";"-";0.0;0.0;0.0;0.0;;0.0;1305.0;0.0;917.0;1305.0;0.0;6.0;0.0;5.0;1305.0;9601763952;18325915318281815_9601763952;https://www.instagram.com/stories/par.co.id/3924837228981049743;https://storage-download.googleapis.com/networkimage/i/9601763952/story_thumbnail_18325915318281815_9601763952.jpg;
19/06/2026, 10:00;"PT Prima Armada Raya";"-";0.0;0.0;0.0;0.0;;0.0;679.0;0.0;527.0;679.0;0.0;1.0;0.0;10.0;679.0;9601763952;17964872000939242_9601763952;https://www.instagram.com/stories/par.co.id/3922631383579592707;https://storage-download.googleapis.com/networkimage/i/9601763952/story_thumbnail_17964872000939242_9601763952.jpg;
19/06/2026, 09:00;"PT Prima Armada Raya";"-";0.0;0.0;0.0;0.0;;0.0;511.0;0.0;433.0;511.0;0.0;0.0;0.0;3.0;511.0;9601763952;17853143619693584_9601763952;https://www.instagram.com/stories/par.co.id/3922634142441793376;https://storage-download.googleapis.com/networkimage/i/9601763952/story_thumbnail_17853143619693584_9601763952.jpg;
19/06/2026, 09:00;"PT Prima Armada Raya";"-";0.0;0.0;0.0;0.0;;0.0;616.0;0.0;515.0;616.0;0.0;1.0;0.0;6.0;616.0;9601763952;17967704913112617_9601763952;https://www.instagram.com/stories/par.co.id/3922634037147973643;https://storage-download.googleapis.com/networkimage/i/9601763952/story_thumbnail_17967704913112617_9601763952.jpg;
16/06/2026, 08:00;"PT Prima Armada Raya";"-";0.0;0.0;0.0;0.0;;0.0;1080.0;0.0;819.0;1080.0;0.0;6.0;0.0;6.0;1080.0;9601763952;18099292757134251_9601763952;https://www.instagram.com/stories/par.co.id/3920429571313022367;https://storage-download.googleapis.com/networkimage/i/9601763952/story_thumbnail_18099292757134251_9601763952.jpg;
15/06/2026, 10:00;"PT Prima Armada Raya";"-";0.0;0.0;0.0;0.0;;0.0;506.0;0.0;422.0;506.0;0.0;0.0;0.0;6.0;506.0;9601763952;18102690965108868_9601763952;https://www.instagram.com/stories/par.co.id/3919732289387500594;https://storage-download.googleapis.com/networkimage/i/9601763952/story_thumbnail_18102690965108868_9601763952.jpg;
13/06/2026, 19:31;"PT Prima Armada Raya";"-";0.0;0.0;0.0;0.0;;0.0;520.0;0.0;401.0;520.0;0.0;0.0;0.0;6.0;520.0;9601763952;17899710849453299_9601763952;https://www.instagram.com/stories/par.co.id/3918603035739815458;https://storage-download.googleapis.com/networkimage/i/9601763952/story_thumbnail_17899710849453299_9601763952.jpg;
12/06/2026, 18:10;"PT Prima Armada Raya";"(at)rizal_nurdin9 
@lolita_andayuni 
@itsnatachuu 
@its_firmaann95 
@niakumala14";0.0;1.0;1.0;8.781173164734808E-5;;8.576329331046312E-4;1166.0;8.781173164734808E-5;760.0;1166.0;5.0;8.0;0.0;22.0;1166.0;9601763952;18408486718145681_9601763952;https://www.instagram.com/stories/par.co.id/3917837215650397402;https://storage-download.googleapis.com/networkimage/i/9601763952/story_thumbnail_18408486718145681_9601763952.jpg;
12/06/2026, 10:00;"PT Prima Armada Raya";"-";0.0;0.0;0.0;0.0;;0.0;818.0;0.0;635.0;818.0;1.0;1.0;0.0;9.0;818.0;9601763952;18076842074405916_9601763952;https://www.instagram.com/stories/par.co.id/3917557926448917697;https://storage-download.googleapis.com/networkimage/i/9601763952/story_thumbnail_18076842074405916_9601763952.jpg;
11/06/2026, 15:12;"PT Prima Armada Raya";"-";0.0;2.0;2.0;1.7546938059308652E-4;;0.0027100271002710027;738.0;1.7546938059308652E-4;531.0;738.0;0.0;0.0;0.0;6.0;738.0;9601763952;17938142172249802_9601763952;https://www.instagram.com/stories/par.co.id/3917023182687119109;https://storage-download.googleapis.com/networkimage/i/9601763952/story_thumbnail_17938142172249802_9601763952.jpg;
11/06/2026, 14:37;"PT Prima Armada Raya";"-";0.0;0.0;0.0;0.0;;0.0;752.0;0.0;557.0;752.0;0.0;0.0;0.0;2.0;752.0;9601763952;18104625725282607_9601763952;https://www.instagram.com/stories/par.co.id/3917005509819722101;https://storage-download.googleapis.com/networkimage/i/9601763952/story_thumbnail_18104625725282607_9601763952.jpg;
11/06/2026, 14:14;"PT Prima Armada Raya";"-";0.0;0.0;0.0;0.0;;0.0;961.0;0.0;719.0;961.0;1.0;1.0;0.0;1.0;961.0;9601763952;18184169764385172_9601763952;https://www.instagram.com/stories/par.co.id/3916993701858458217;https://storage-download.googleapis.com/networkimage/i/9601763952/story_thumbnail_18184169764385172_9601763952.jpg;
11/06/2026, 14:09;"PT Prima Armada Raya";"-";0.0;0.0;0.0;0.0;;0.0;768.0;0.0;575.0;768.0;0.0;0.0;0.0;0.0;768.0;9601763952;18320329831276668_9601763952;https://www.instagram.com/stories/par.co.id/3916991172681791116;https://storage-download.googleapis.com/networkimage/i/9601763952/story_thumbnail_18320329831276668_9601763952.jpg;
11/06/2026, 14:08;"PT Prima Armada Raya";"-";0.0;1.0;1.0;8.773469029654326E-5;;0.0012315270935960591;812.0;8.773469029654326E-5;587.0;812.0;0.0;0.0;0.0;2.0;812.0;9601763952;18138281872489949_9601763952;https://www.instagram.com/stories/par.co.id/3916990845838274955;https://storage-download.googleapis.com/networkimage/i/9601763952/story_thumbnail_18138281872489949_9601763952.jpg;
11/06/2026, 14:08;"PT Prima Armada Raya";"-";0.0;0.0;0.0;0.0;;0.0;860.0;0.0;619.0;860.0;0.0;0.0;0.0;2.0;860.0;9601763952;17914083210202412_9601763952;https://www.instagram.com/stories/par.co.id/3916990619268500815;https://storage-download.googleapis.com/networkimage/i/9601763952/story_thumbnail_17914083210202412_9601763952.jpg;
11/06/2026, 12:30;"PT Prima Armada Raya";"-";0.0;0.0;0.0;0.0;;0.0;64.0;0.0;21.0;64.0;1.0;0.0;0.0;0.0;64.0;9601763952;18115970158875990_9601763952;https://www.instagram.com/stories/par.co.id/3916941364625799507;https://storage-download.googleapis.com/networkimage/i/9601763952/story_thumbnail_18115970158875990_9601763952.jpg;
