Date;Profile;Message;Number of Likes;Number of comments;Reactions, Comments & Shares;Post interaction rate;Reach per post;Interactions per impression/view;Impressions/views per post;Engagement;Story reach;Story views;Story replies;Story shares;Number of new followers based on the story;Profile visits based on the story;Impressions/views of posts;Number of Carousels/Albums;Number of Image Posts;Number of Reels/Shorts;Number of Stories;Profile-ID;Post-ID;Link;Image Link;
7/8/26, 9:59 AM;"mpm.rent";"Kakak-kakak ini namanya One Stop Mobility Solutions ya 🤗 Kamu bisa mengerjakan kepentingan yang lain tanpa memikiran urusan mobilitas (kendaraan, downtime, driver, dll) Yuk, kunjungi www.mpmrent.com untuk informasi sewa kendaraan! ✨ #MPMRent #SewaMobil #Driver #corporatelife #corporategirl ";27.0;0.0;28.0;0.02676864244741874;;0.027184466019417475;1030.0;0.02676864244741874;;;;;;;1030.0;;0.0;;;7074774441296790529;7659986172642381073;https://www.tiktok.com/@mpm.rent/video/7659986172642381073;https://p16-common-sign.tiktokcdn-eu.com/tos-alisg-p-0037/oEAAACP1Ki9AAICI5uNfBivJBBnvDtE29aGDWw~tplv-tiktokx-dmt-logom:tos-alisg-i-0068/oEB9AqbCINzEEcFRXyIAIrAUnvgfu6fNABTEPD.image?dr=10393&x-expires=1784343600&x-signature=afhaxS8Td90EvwZ1wvSmdMwYkQ8%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=no1a;
7/9/26, 4:30 PM;"TRAC Rental Mobil dan Bus";"Udah siap belum?
TRAC udah siap banget nih buat anterin kamu liburan di minggu terakhir liburan sekolah 🚌📚

Mulai dari mobil rental terawat, driver profesional dan layanan TRAC Rental yang ada di lebih dari 20 kota se-Indonesia

Saatnya liburan keluarga nyaman dan hemat pake promo dari TRAC

TRAC Rental, Teman di Setiap Kilometer";39.0;2.0;41.0;0.01830357142857143;;0.006505871152015234;6302.0;;;;;;;;6302.0;;;1.0;;UC-9jLt-k0R30YzImXxnn6PQ;OOKUyuHDteE;http://www.youtube.com/watch?v=OOKUyuHDteE;https://i.ytimg.com/vi/OOKUyuHDteE/mqdefault.jpg;
7/1/26, 11:02 AM;"mpm.rent";"POV: Habis meeting... masih sempat ke PRJ. 😎🎡 Bukan sulap, tapi mobilitasnya udah diurus MPMRent. 🚗 ✅ Perjalanan lebih nyaman ✅ Tetap bisa produktif di jalan ✅ Agenda selesai, masih ada waktu buat menikmati momen Karena bisnis butuh partner mobilitas yang bisa diandalkan. Kunjungi www.mpm-rent.com untuk informasi lebih lanjut! #MPMRent #BusinessMobility #PRJ #CorporateLife #WorkLifeBalance ";16.0;0.0;16.0;0.015311004784688996;;0.030360531309297913;527.0;0.015311004784688996;;;;;;;527.0;;0.0;;;7074774441296790529;7657404781631147265;https://www.tiktok.com/@mpm.rent/video/7657404781631147265;https://p19-common-sign.tiktokcdn-eu.com/tos-alisg-p-0037/osAAui13AkI6ib6CikAB2EIBEwAKIA9BUcfqT3~tplv-tiktokx-dmt-logom:tos-alisg-i-0068/o8ERDfg3EEfUQmICTAqgFCdJIpRJAAzQCB6AF7.image?dr=10393&x-expires=1784343600&x-signature=TWLhwC38ASEnJxg6l8%2FnPByvBPo%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=no1a;
7/13/26, 4:00 PM;"TRAC Rental Mobil dan Bus";"🚌 POV Liburan bareng TRAC Bus ✨
Seseru ini perjalanan kamu bareng TRAC Bus 🚌

Nikmati potongan harga hingga Rp500.000 untuk pemesanan Hiace, Medium Bus, Big Bus, dan Luxury Bus.

Pakai kode promo 👉 SCHOOLIDAY26 saat melakukan booking dan wujudkan perjalanan rombongan yang lebih nyaman dan aman 👋

TRAC Rental, Teman di Setiap Kilometer";21.0;1.0;22.0;0.009821428571428571;;0.00917813934084272;2397.0;;;;;;;;2397.0;;;1.0;;UC-9jLt-k0R30YzImXxnn6PQ;XhKSh-0zaqE;http://www.youtube.com/watch?v=XhKSh-0zaqE;https://i.ytimg.com/vi/XhKSh-0zaqE/mqdefault.jpg;
7/7/26, 9:29 AM;"mpm.rent";"🚗 Masih bingung pilih beli atau sewa kendaraan?";9.0;0.0;9.0;0.00861244019138756;;0.012064343163538873;746.0;0.00861244019138756;;;;;;;746.0;;1.0;;;7074774441296790529;7659607394661453072;https://www.tiktok.com/@mpm.rent/photo/7659607394661453072;https://p16-common-sign.tiktokcdn-eu.com/tos-alisg-i-photomode-sg/9c113f5ed690409e8c3f4d9fea46878b~tplv-photomode-image.jpeg?dr=10375&x-expires=1784343600&x-signature=9hUA7bT4cFG1uhyEBEZ3JWXiVMA%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=9b759fb9&idc=no1a&ftpl=1;
7/1/26, 12:00 PM;"MPM RENT";"Kerja produktif, habis itu masih sempat menikmati momen? Bisa banget! 🚗✨

Rahasianya bukan cuma pintar mengatur waktu, tapi juga didukung solusi mobilitas yang tepat.

Dengan layanan kendaraan dan driver profesional dari MPMRent, perjalanan bisnis jadi lebih nyaman dan efisien. Waktu di perjalanan bisa dimanfaatkan untuk tetap produktif, sehingga setelah semua agenda selesai, masih ada waktu untuk menikmati hal-hal yang disukai. 🎡

Karena saat mobilitas berjalan lancar, aktivitas pun jadi lebih optimal.

MPMRent — Reliable Partner.
Kunjungi www.mpm-rent.com untuk informasi lebih lanjut!

#MPMRent #BusinessMobility #CorporateLife #ProfessionalDriver #ReliablePartner";81.0;0.0;84.0;0.006648725660914991;;;;0.006648725660914991;;;;;;;;;;1.0;;5355318560;18062318564742944;https://www.instagram.com/reel/DaPNyPPhENs/;https://scontent-ord5-3.cdninstagram.com/v/t51.82787-15/730164670_18423765343182561_3248514031591293457_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=107&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiQ0xJUFMuYmVzdF9pbWFnZV91cmxnZW4uQzMifQ%3D%3D&_nc_ohc=_02oStZMeboQ7kNvwEM6SQA&_nc_oc=AdoLcomI4e4eudN4-FK5BVUpgDL-KcJzVgLeAL3_vSXV3SCQVbaETHR2WmK766w5Yao&_nc_zt=23&_nc_ht=scontent-ord5-3.cdninstagram.com&edm=AL-3X8kEAAAA&_nc_gid=XIk4O7hwMgyltKIFFnEdQA&_nc_tpa=Q5bMBQHkfYKyOJihx0f_rOLYiPsRlkTFHYMbekdq0Iyr-tC6wRWPqAOwRZRIjSlGFp62lNUv-PtJaI1q&oh=00_AQBfmqjPNkTQxz9wBxFtYpKEFkzudikVoY94Pz9mi1Gq5Q&oe=6A5E0CBB;
7/10/26, 10:47 AM;"MPM RENT";"Di balik setiap layanan MPMRent, ada tim yang selalu siap membantu. 🧡

Mulai dari memahami kebutuhan pelanggan, menghubungkan dengan tim yang tepat, hingga memastikan solusi yang diberikan benar-benar sesuai.

Bersama Pak Pras dan tim Customer Care Management, setiap inquiry ditangani dengan responsif agar kebutuhan mobilitas bisnis dapat berjalan dengan lancar.

📞 Customer Care Management MPMRent siap mendukung kebutuhan bisnis Anda 24/7.

Karena menjadi Reliable Partner berarti selalu siap saat pelanggan membutuhkan.

Kunjungi www.mpm-rent.com untuk informasi lebih lanjut!

#MPMRent #CustomerCare #ReliablePartner #BusinessMobility #CustomerExperience";71.0;3.0;75.0;0.005936362197245528;;;;0.005936362197245528;;;;;;;;1.0;;;;5355318560;18168580159442379;https://www.instagram.com/p/DamQpqlkw27/;https://scontent-ord5-3.cdninstagram.com/v/t51.82787-15/743018408_18425239594182561_7911568612764662535_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=100&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiQ0FST1VTRUxfSVRFTS5iZXN0X2ltYWdlX3VybGdlbi5DMyJ9&_nc_ohc=ZZHYZm2YaHwQ7kNvwFsLHyG&_nc_oc=AdoRhZ0WSoGXLCEs_DdbbnUNO8YknginGTG8eZnVqE7wM5YuyaJaa1mz8ly550Ee28A&_nc_zt=23&_nc_ht=scontent-ord5-3.cdninstagram.com&edm=AL-3X8kEAAAA&_nc_gid=XIk4O7hwMgyltKIFFnEdQA&oh=00_AQAFHZrqBk_rX646-Gsa92IQi9lvof24y_TiH0aWXaoFuQ&oe=6A5E08A1;
7/14/26, 5:00 PM;"TRAC Rental Mobil dan Bus";"Aku rental mobil di TRAC 😆✨
'Aku rental mobil dari TRAC!' ofcourse banyak banget benefitnya ✨
Mulai dari banyak promo, pilihan mobil beragam, bisa nyetir sendiri atau pakai driver 🔥

Booking sekarang promo Schooliday dari TRAC 🚗💨
📆 Periode promo: 1 Juni - 31 Juli 2026
🚗 Rental mobil mulai 300 rban/hari
🚌 Sewa Bus mulai 900rban/hari
⌛ Sewa mobil bulanan 5jtan/hari

Mumpung masih ada minggu terakhir sebelum di kecil masuk sekolah, yuk, jadwalin buat liburan bareng TRAC. Pesan sesuai kebutuhan keluarga buat liburan sekolah 🎒📚";8.0;0.0;8.0;0.0035714285714285713;;0.005329780146568954;1501.0;;;;;;;;1501.0;;;1.0;;UC-9jLt-k0R30YzImXxnn6PQ;QmgoAnhySdE;http://www.youtube.com/watch?v=QmgoAnhySdE;https://i.ytimg.com/vi/QmgoAnhySdE/mqdefault.jpg;
7/8/26, 8:57 AM;"TRAC Rental Mobil dan Bus";"Schooliday ke Semarang bareng TRAC
Anak liburan, orang tua juga butuh recharge. 🚗✨

Yuk, ajak keluarga jelajahi Semarang! Ada banyak destinasi yang ramah anak sekaligus pas buat menikmati quality time bersama.

Biar perjalanan makin praktis dan hemat, manfaatkan promo Schooliday dan booking mobilmu lewat aplikasi atau website TRACtoGo

TRAC Rental, Teman di Setiap Kilometer";7.0;0.0;7.0;0.003125;;0.007194244604316547;973.0;;;;;;;;973.0;;;1.0;;UC-9jLt-k0R30YzImXxnn6PQ;LnRHPOxsgkc;http://www.youtube.com/watch?v=LnRHPOxsgkc;https://i.ytimg.com/vi/LnRHPOxsgkc/mqdefault.jpg;
7/3/26, 3:00 PM;"MPM RENT";"Di tengah padatnya agenda bisnis, tetap bisa produktif 🚗💼

✅ Cek email
✅ Review dokumen
✅ Istirahat sejenak
✅ Sampai tujuan lebih siap

Karena waktu di jalan juga bisa jadi waktu yang produktif.

MPMRent — Reliable Partner. 🔥

#MPMRent #CorporateMobility #BusinessLife #SewaMobil #CorporateLife";27.0;0.0;29.0;0.0022968477744337084;;;;0.0022968477744337084;;;;;;;;;;1.0;;5355318560;17935251741288500;https://www.instagram.com/reel/DaUsFCJBWs3/;https://scontent-ord5-3.cdninstagram.com/v/t51.82787-15/733759351_18424098553182561_6191179075245427106_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=100&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiQ0xJUFMuYmVzdF9pbWFnZV91cmxnZW4uQzMifQ%3D%3D&_nc_ohc=NtEnfLX01k0Q7kNvwH-xB-u&_nc_oc=AdolJeaSPtSVG6od5VSU9J4lRxncAyziDjT66D8Ru-7D2AdO7Txu3E4aS0dsnvA4rYM&_nc_zt=23&_nc_ht=scontent-ord5-3.cdninstagram.com&edm=AL-3X8kEAAAA&_nc_gid=XIk4O7hwMgyltKIFFnEdQA&_nc_tpa=Q5bMBQF-8TbzloztCh8NSEtTUle2yMKOJsbHgCYUvg7vyxBLf_aPjO47Y8s_iSYCuZsir0xnloUKzMIJ&oh=00_AQBZJW7BxiqLCocK00KGT9Bn6gnW07oJiffXuTZF1KmNjw&oe=6A5DEE81;
