Date;Profile;Message;Number of Likes;Number of comments;Reactions, Comments & Shares;Post interaction rate;Reach per post;Interactions per impression/view;Impressions/views per post;Engagement;Story reach;Story views;Story replies;Story shares;Number of new followers based on the story;Profile visits based on the story;Impressions/views of posts;Number of Carousels/Albums;Number of Image Posts;Number of Reels/Shorts;Number of Stories;Profile-ID;Post-ID;Link;Image Link;
7/9/26, 1:55 PM;"PT Prima Armada Raya";"Setiap perjalanan bukan hanya soal sampai tujuan, tapi bagaimana kita menjaganya tetap aman.

Di Prima Armada Raya, komitmen Zero Incident bukan hanya tanggung jawab satu pihak. Karena bagi kami, tidak ada yang lebih penting dari memastikan setiap perjalanan pulang dengan selamat.

Zero Incident. Every Journey Matters.

#MelayaniSepenuhHatiDenganPRIMA #AlwaysPRIMA #SelaluPrima #PARMemberOfPertamina";640.0;9.0;654.0;0.05761606906880451;130297.0;0.0023149868852807187;282507.0;0.05761606906880451;;;;;;;282507.0;;;1.0;;9601763952;18098477837606324;https://www.instagram.com/reel/DakBWFzlJph/;https://scontent-ord5-3.cdninstagram.com/v/t51.82787-15/730331483_18222960703323953_7412549049420095247_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=110&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiQ0xJUFMuYmVzdF9pbWFnZV91cmxnZW4uQzMifQ%3D%3D&_nc_eui2=AeFyj8skbUln1mI7lfKmBdW21FmUn2yjdabUWZSfbKN1pmpsmyLDsaSYLQtM1W3F-Kp-DPdYWDnImkVTzAohV479&_nc_ohc=0iGimj_XoWcQ7kNvwHiw7Cc&_nc_oc=Adp36F6UA7-K9W1HIM4Zza9llUKVvwND6ZygaMk--_zcwq5aiQ1kVkmWseemLrQsQRQ&_nc_zt=23&_nc_ht=scontent-ord5-3.cdninstagram.com&edm=AEQ6tj4EAAAA&_nc_gid=z4A1EbJ0cYPMMQih2DKdCg&_nc_tpa=Q5bMBQFJ8N_nojIxeLKx2qeXCH30houhoJ3vQ8Uu_SU-EgFEnFqEVROfSkuFhzzl0V7ss3LiZRsKoiGU&oh=00_AQGQ8gP91qtvlxJtkH_z1bJRdg516Fl86Set_9i4xZVX7w&oe=6A77257E;
7/3/26, 6:29 PM;"PT Prima Armada Raya";"12 Tahun berkarya dimulai dari komitmen pelayanan prima.

Selama 12 tahun, PT Prima Armada Raya terus bergerak menjaga kelancaran mobilitas bisnis di Indonesia. Semangat perjalanan ini diwujudkan melalui penghargaan Driver of the Year 2026 dan Employee of the Year 2026. Dedikasi yang diberikan adalah simbol profesionalisme untuk selalu memberikan yang terbaik di setiap kilometer.

Apresiasi ini menjadi ruang bagi keluarga besar PAR untuk merayakan pencapaian bersama. Layanan transportasi terbaik tidak akan tercipta tanpa insan tangguh yang konsisten menjaga keselamatan Anda di jalan.

Melalui momen ini, kami berkomitmen untuk selalu #MelayaniSepenuhHatiDenganPRIMA dan terus melangkah bersama menuju masa depan transportasi yang lebih andal!

#AlwaysPRIMA #SelaluPrima #PARMemberOfPertamina";149.0;7.0;161.0;0.014175030815284382;1862.0;0.03707114897536265;4343.0;0.014175030815284382;;;;;;;4343.0;;1.0;;;9601763952;18117301864868756;https://www.instagram.com/p/DaVD9wFGEKL/;https://scontent-ord5-1.cdninstagram.com/v/t39.30808-6/736817218_122290803260190187_5630790006280422378_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=101&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiRkVFRC5iZXN0X2ltYWdlX3VybGdlbi5DMyJ9&_nc_eui2=AeFztsrbkVIdhcltvf9HQfiHMNiiDXzGiTsw2KINfMaJOxG_HV5LT3IMQzHnlfW3VEAdi1W3nRDqXFkUY7yZG4ZO&_nc_ohc=X7IKloow_sYQ7kNvwGBsVoY&_nc_oc=AdpZlVtSdkMDfXZVd4eICKiEXw7a2brLKqIuvMOgHB52pb5wndEQS0XzTqhw0kVgKwc&_nc_zt=23&_nc_ht=scontent-ord5-1.cdninstagram.com&edm=AEQ6tj4EAAAA&_nc_gid=EsrOslecuYz8x733eM2t7Q&oh=00_AQHbSPRmziNV_XIvt-EptFctJ8YXdcN0KSSVUBi85l6qLQ&oe=6A771959;
7/20/26, 9:00 AM;"PT Prima Armada Raya";"Perjalanan yang nyaman bukan sekadar tujuan, tapi pengalaman di setiap momennya.

Dengan layanan VIP dari PAR, nikmati standar perjalanan yang lebih tenang, aman, dan nyaman.

#MelayaniSepenuhHatiDenganPRIMA #AlwaysPRIMA #SelaluPrima #PARMemberOfPertamina";152.0;2.0;156.0;0.013756613756613757;74087.0;0.0015496021694430373;100671.0;0.013756613756613757;;;;;;;100671.0;;1.0;;;9601763952;17896035132559701;https://www.instagram.com/p/Da_0VOzjcfx/;https://scontent-ord5-3.cdninstagram.com/v/t39.30808-6/749286108_122292826958190187_2248036149152038812_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=109&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiRkVFRC5iZXN0X2ltYWdlX3VybGdlbi5DMyJ9&_nc_eui2=AeEC5qSC4F2qZ7NHxBCu-b-ejbeNAr60hU-Nt40CvrSFT8VUEZVhFkJpiYKMlp5PsuSGF_zh2bEldB1mOzB7i-lq&_nc_ohc=0oZ68NmctjQQ7kNvwHUhbT6&_nc_oc=Adr55KDGsQnKOd9e_bkVH9K9oS9Lw48Ttq6tLsJm5fCtBOIq3XZtLiYBQiUV3Nzablo&_nc_zt=23&_nc_ht=scontent-ord5-3.cdninstagram.com&edm=AEQ6tj4EAAAA&_nc_gid=kg6zfaK7TaiWecmZQI0xgA&oh=00_AQEP_vq70ek73SOmjwAes_HIBydL2iTldqG88lvof96Wng&oe=6A76F2C3;
7/27/26, 4:30 PM;"PT Prima Armada Raya";"PT Prima Armada Raya (PAR) menggelar Pelatihan Defensive Driving & Service Excellence di Pusdiklantas Polri, Serpong.

Dipandu langsung oleh instruktur profesional Polri, para Prima Driver dibekali teknik mengantisipasi bahaya di jalan serta standar pelayanan prima yang beretika dan komunikatif.

Langkah ini merupakan komitmen berkelanjutan PAR dalam memperkuat budaya K3, menekan angka kecelakaan, serta memberikan pelayanan yang aman, nyaman, dan terpercaya bagi seluruh mitra kerja.

#MelayaniSepenuhHatiDenganPRIMA #AlwaysPRIMA #SelaluPrima #PARMemberOfPertamina";146.0;0.0;147.0;0.012898131087128192;2249.0;0.03114406779661017;4720.0;0.012898131087128192;;;;;;;4720.0;1.0;;;;9601763952;18073434020361081;https://www.instagram.com/p/DbSpbwpGLLJ/;https://scontent-ord5-3.cdninstagram.com/v/t39.30808-6/756525552_122294308916190187_7934264705280480619_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=110&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiQ0FST1VTRUxfSVRFTS5iZXN0X2ltYWdlX3VybGdlbi5DMyJ9&_nc_eui2=AeEn4XZIDzg8k3KO0iApqkEmTcheN3CGf31NyF43cIZ_fTq6dfw_Xzlf1r3Hlu5NQlnrd0OEK4BWS3ToO5jGaHzJ&_nc_ohc=A7iJ3YP_4RQQ7kNvwEHEeN6&_nc_oc=AdounUiDx6-J83-Mtx6mdw2ShLIZJ_jdFbGe3BjdiC3UrmJbmXDhIpCSZxLkWylLtkA&_nc_zt=23&_nc_ht=scontent-ord5-3.cdninstagram.com&edm=AEQ6tj4EAAAA&_nc_gid=fxwam4tsCX7h43iKBWzaXg&oh=00_AQEab7U174gOjoQ8L_LYUETfb9REI4jtjj7b-WPm48bIOQ&oe=6A770847;
7/2/26, 8:00 AM;"PT Prima Armada Raya";"Mengelola armada sendiri sering terlihat lebih hemat di awal.

Namun di baliknya, ada berbagai biaya tersembunyi yang tidak selalu terlihat, mulai dari operasional hingga administratif.

Seiring waktu, hal ini dapat memengaruhi efisiensi dan fokus bisnis secara keseluruhan.

Dengan pendekatan yang lebih terintegrasi, pengelolaan armada dapat menjadi lebih optimal dan terkendali.

#MelayaniSepenuhHatiDenganPRIMA #AlwaysPRIMA #SelaluPrima #PARMemberOfPertamina";133.0;7.0;145.0;0.01276858048608665;1610.0;0.05488266464799394;2642.0;0.01276858048608665;;;;;;;2642.0;;;1.0;;9601763952;17884370820601051;https://www.instagram.com/reel/DaRXLKbDFIj/;https://scontent-ord5-1.cdninstagram.com/v/t51.82787-15/730731788_18222172018323953_7034824485747617913_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=107&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiQ0xJUFMuYmVzdF9pbWFnZV91cmxnZW4uQzMifQ%3D%3D&_nc_eui2=AeHXOCIKCbusnsoSDXHyVkCreNY6o2gtUF541jqjaC1QXtFzoGX3z0gqBV9FGBPSaL1DJ1-TsIuYrzJWIiRITv_6&_nc_ohc=eRTXDFXmtYEQ7kNvwHQm1yK&_nc_oc=AdrvEYEZkD07AZrGcKlc1_cPVMS27V7uUIiTNIQYDvKEGpCLkSlAEutMK_ZzSk8bvxk&_nc_zt=23&_nc_ht=scontent-ord5-1.cdninstagram.com&edm=AEQ6tj4EAAAA&_nc_gid=KfL_x3jqcYHNPL7kFJO5Ag&_nc_tpa=Q5bMBQG7ErvkeplkwW8ILzj0HgPSJQKTZeoxVRqZLhGgJmcmmvUMyA-Ye2lrwpFeBL4uKYvWuGDKjS1m&oh=00_AQGFjL1-GmyZD4hIxQFMb38mx-OYgFLESTkC6T7z5YkLqQ&oe=6A76F372;
7/5/26, 8:30 AM;"PT Prima Armada Raya";"Di balik setiap perjalanan, ada Command Centre yang selalu siaga.

Command Centre PT Prima Armada Raya memantau operasional armada secara real-time, mengoordinasikan perjalanan, serta merespons cepat setiap kebutuhan di lapangan. Dengan sistem yang terintegrasi, setiap mobilitas bisnis dapat berjalan lebih aman, terukur, dan andal.

Layanan ini siap mendukung perjalanan Sahabat Prima.

#MelayaniSepenuhHatiDenganPRIMA #AlwaysPRIMA #SelaluPrima #PARMemberOfPertamina";102.0;1.0;109.0;0.009602678178134086;1366.0;0.051318267419962336;2124.0;0.009602678178134086;;;;;;;2124.0;;;1.0;;9601763952;17937968067271812;https://www.instagram.com/reel/DaZI99DDBdv/;https://scontent-ord5-1.cdninstagram.com/v/t51.82787-15/735317348_18222622099323953_6320261248446839929_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=108&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiQ0xJUFMuYmVzdF9pbWFnZV91cmxnZW4uQzMifQ%3D%3D&_nc_eui2=AeFZB7Ton8Wf_NaSH2veiSR_psx_Md8CXDymzH8x3wJcPKmQ6bLbfsbH7R8JzaDj0KwJkC-iynE4UXZ-z2ohss_m&_nc_ohc=Ig4sB0aEZoIQ7kNvwH2869w&_nc_oc=AdoE8Y1FHT20dEb6cbQ-A8gFXppvilo_fo7G9ZYk_rlTIhnutN1XneGNPP_X5nfoSGk&_nc_zt=23&_nc_ht=scontent-ord5-1.cdninstagram.com&edm=AEQ6tj4EAAAA&_nc_gid=TGEoopH8imV_3TgJlWSRDA&_nc_tpa=Q5bMBQEV_Z026QpacreEJpeoNnyVEFoMbUSbqXjGdAWX2mDw2lKYSF_r_P6wnCkB5gy6f2MNM-WJIzN3&oh=00_AQHk1NvP1HUcH_5tVHaquD-CGaxD9dwuTm6Ddgqs2CtbfA&oe=6A7726A3;
7/4/26, 8:00 AM;"PT Prima Armada Raya";"Ngurus armada itu bukan cuma soal jalan atau enggak.

Ada banyak hal di belakang layar yang makan waktu, tenaga, dan fokus. Makanya, biar tim kamu bisa fokus ke hal yang lebih penting, biarkan yang teknis kami yang handle 🤝

#MelayaniSepenuhHatiDenganPRIMA #AlwaysPRIMA #SelaluPrima #PARMemberOfPertamina";97.0;1.0;100.0;0.008805917576611482;51568.0;0.0014528337522337318;68831.0;0.008805917576611482;;;;;;;68831.0;;1.0;;;9601763952;18051223721789714;https://www.instagram.com/p/DaWgvoyiXUy/;https://scontent-ord5-1.cdninstagram.com/v/t39.30808-6/731158500_122290318244190187_5595843956640755842_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=108&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiRkVFRC5iZXN0X2ltYWdlX3VybGdlbi5DMyJ9&_nc_eui2=AeHWwrK2VnVDS-Zs8g8QSQrntPKH3PdLviu08ofc90u-K6zVwFVkOL2JH9ZFOoJfecc-ohnvfcGKZSO_PhRAhHTd&_nc_ohc=5aA_CvRZMhgQ7kNvwFWQKiE&_nc_oc=Adox2lTq2FY0ZWlxdvyMAmMxbmuTNGhlTJCZGJir_nJO5trfxLsdEDC7ByaRdB0tm6s&_nc_zt=23&_nc_ht=scontent-ord5-1.cdninstagram.com&edm=AEQ6tj4EAAAA&_nc_gid=NvrvPSvFZTBy_o1dNRa5bQ&oh=00_AQHbeYiP6pa6hA5RFbWtO0FurmiVu1yVeqSN7mgh8wXBeQ&oe=6A76FE7C;
7/29/26, 3:08 PM;"ptpar";"PT Prima Armada Raya \(PAR\) terus memperkuat sinergi dengan berbagai pemangku kepentingan dalam mendukung ketahanan energi nasional. Sejalan dengan rencana pengelolaan Awak Mobil Tangki \(AMT\) sebagai bagian dari distribusi BBM, pada Rabu, 22 Juli 2026, Direktur Utama bersama Direktur Operasi PT Prima Armada Raya didampingi Manager HSSE Portfolio dan HO PT Pertamina \(Persero\) selaku Pembina HSSE AP Service & Portfolio melakukan silaturahmi dengan jajaran Kodam III/Siliwangi.

Rombongan diterima langsung oleh Panglima Kodam III/Siliwangi, Mayjen TNI Kosasih, S.E., M.M. Pertemuan berlangsung dalam suasana hangat dan produktif, dengan pembahasan mengenai peluang sinergi antara PT Prima Armada Raya dan Kodam III/Siliwangi dalam mendukung kelancaran distribusi energi sebagai salah satu aspek penting ketahanan energi nasional.

Melalui kolaborasi ini, diharapkan terjalin kerja sama yang semakin erat dalam mendukung operasional yang aman, andal, dan berkelanjutan demi tercapainya ketahanan energi Indonesia.

#MelayaniSepenuhHatiDenganPRIMA #AlwaysPRIMA #SelaluPrima #PARMemberOfPertamina";17.0;0.0;17.0;0.006319702602230483;452.0;0.01798941798941799;945.0;0.006319702602230483;;;;;;;945.0;;;;;71324416;urn:li:ugcPost:7488143383388094464;https://www.linkedin.com/feed/update/urn:li:ugcPost:7488143383388094464/;https://media.licdn.com/dms/image/v2/D5622AQGZ4vy3HdWdKA/feedshare-shrink_1280/B56Z.s6uZCKMAM-/0/1785312503625?e=1787184000&v=beta&t=PwewErlzT1IF-pWnyTA3J1gMGpok_SoWzOj5Ljamvxo;
7/15/26, 10:00 AM;"PT Prima Armada Raya";"Di Prima Fleet Services, kami percaya layanan yang baik itu bukan cuma soal unit, tapi juga soal kesiapan kapan pun kamu butuh bantuan.

Karena itu, Customer Service kami selalu siap membantu 24/7 untuk memastikan operasional kamu tetap berjalan lancar tanpa hambatan.

Butuh informasi, reservasi, atau bantuan cepat?
Kami siap bantu kamu langsung.

📞 WhatsApp Call Center: 628111500751

Layanan Prima untuk Sahabat Prima.
Selalu siap kapan pun dibutuhkan.

#MelayaniSepenuhHatiDenganPRIMA #AlwaysPRIMA #SelaluPrima #PARMemberOfPertamina";68.0;0.0;69.0;0.006083583142302945;22224.0;0.0025504546462630294;27054.0;0.006083583142302945;;;;;;;27054.0;;1.0;;;9601763952;18435170224133306;https://www.instagram.com/p/DazDNkYgXSa/;https://scontent-ord5-3.cdninstagram.com/v/t39.30808-6/747904030_122292394898190187_6445712741676700675_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=109&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiRkVFRC5iZXN0X2ltYWdlX3VybGdlbi5DMyJ9&_nc_eui2=AeGorapr9vCG2PzBfzHS6yRVv68zKRSQKO2_rzMpFJAo7T3lB5nhWQ15FShmlY2iCKoP5iI5jsaobMP4WTcFLyLJ&_nc_ohc=qZYEAAttiDEQ7kNvwGOYGfe&_nc_oc=Adqx40NKwSsNyvZhVNeADBy35HLqyj7tTAMDy1970q0ybC5OjhDcMKvBTpJ2uZivtb0&_nc_zt=23&_nc_ht=scontent-ord5-3.cdninstagram.com&edm=AEQ6tj4EAAAA&_nc_gid=z_X0ww7_RVVYaDj32NQUPQ&oh=00_AQEuEQCi9pGVHunuA5OiEBjj7sdcGrubyk_QeW6pB1_KSA&oe=6A7721DD;
7/5/26, 8:30 AM;"ptpar";"Di balik setiap perjalanan, ada Command Centre yang selalu siaga.

Command Centre PT Prima Armada Raya memantau operasional armada secara real-time, mengoordinasikan perjalanan, serta merespons cepat setiap kebutuhan di lapangan. Dengan sistem yang terintegrasi, setiap mobilitas bisnis dapat berjalan lebih aman, terukur, dan andal.

Layanan ini siap mendukung perjalanan Sahabat Prima.

#MelayaniSepenuhHatiDenganPRIMA #AlwaysPRIMA #SelaluPrima #PARMemberOfPertamina";14.0;1.0;15.0;0.005634861006761833;714.0;0.011618900077459334;1291.0;0.005634861006761833;;;;;;;1291.0;;;;;71324416;urn:li:ugcPost:7479199371285131264;https://www.linkedin.com/feed/update/urn:li:ugcPost:7479199371285131264/;https://media.licdn.com/dms/image/v2/D5605AQHHdgrZK2twag/videocover-high/B56Z8t0OUkG0BM-/0/1783180096447?e=1786417200&v=beta&t=upPdHG8H2fF2BbOJrGB4y5ORdmzMf68O2X0QXJYFpEo;
