Date;Profile;Message;Number of Likes;Number of comments;Reactions, Comments & Shares;Post interaction rate;Reach per post;Interactions per impression/view;Impressions/views per post;Engagement;Story reach;Story views;Story replies;Story shares;Number of new followers based on the story;Profile visits based on the story;Impressions/views of posts;Number of Carousels/Albums;Number of Image Posts;Number of Reels/Shorts;Number of Stories;Story total interaction;Profile-ID;Post-ID;Link;Image Link;
7/31/26, 10:13 AM;"PT Prima Armada Raya";"-";0.0;0.0;0.0;0.0;;0.0;312.0;0.0;272.0;312.0;0.0;0.0;0.0;3.0;312.0;;;1.0;1.0;4.0;9601763952;18068185229531824_9601763952;https://www.instagram.com/stories/par.co.id/3953111493348263347;https://storage-download.googleapis.com/networkimage/i/9601763952/story_thumbnail_18068185229531824_9601763952.jpg;
7/31/26, 10:00 AM;"PT Prima Armada Raya";"-";0.0;0.0;0.0;0.0;;0.0;377.0;0.0;326.0;377.0;1.0;0.0;0.0;3.0;377.0;;1.0;;1.0;6.0;9601763952;18322835755277299_9601763952;https://www.instagram.com/stories/par.co.id/3953071802784597797;https://storage-download.googleapis.com/networkimage/i/9601763952/story_thumbnail_18322835755277299_9601763952.jpg;
7/29/26, 8:00 AM;"PT Prima Armada Raya";"-";0.0;0.0;0.0;0.0;;0.0;671.0;0.0;549.0;671.0;0.0;0.0;0.0;7.0;671.0;;1.0;;1.0;6.0;9601763952;18111524692989459_9601763952;https://www.instagram.com/stories/par.co.id/3951595001758167555;https://storage-download.googleapis.com/networkimage/i/9601763952/story_thumbnail_18111524692989459_9601763952.jpg;
7/28/26, 7:02 PM;"PT Prima Armada Raya";"-";0.0;0.0;0.0;0.0;;0.0;560.0;0.0;471.0;560.0;0.0;0.0;0.0;5.0;560.0;;;1.0;1.0;7.0;9601763952;18083277782277509_9601763952;https://www.instagram.com/stories/par.co.id/3951203223113132168;https://storage-download.googleapis.com/networkimage/i/9601763952/story_thumbnail_18083277782277509_9601763952.jpg;
7/27/26, 10:00 AM;"PT Prima Armada Raya";"-";0.0;0.0;0.0;0.0;;0.0;819.0;0.0;674.0;819.0;1.0;1.0;1.0;3.0;819.0;;1.0;;1.0;9.0;9601763952;18606748210026386_9601763952;https://www.instagram.com/stories/par.co.id/3950172745007050063;https://storage-download.googleapis.com/networkimage/i/9601763952/story_thumbnail_18606748210026386_9601763952.jpg;
7/24/26, 10:00 AM;"PT Prima Armada Raya";"-";0.0;0.0;0.0;0.0;;0.0;420.0;0.0;353.0;420.0;0.0;0.0;0.0;4.0;420.0;;1.0;;1.0;3.0;9601763952;18097699868613327_9601763952;https://www.instagram.com/stories/par.co.id/3947998578035501880;https://storage-download.googleapis.com/networkimage/i/9601763952/story_thumbnail_18097699868613327_9601763952.jpg;
7/23/26, 10:52 AM;"PT Prima Armada Raya";"-";0.0;0.0;0.0;0.0;;0.0;1207.0;0.0;878.0;1207.0;1.0;4.0;0.0;10.0;1207.0;;1.0;;1.0;15.0;9601763952;17897926587516545_9601763952;https://www.instagram.com/stories/par.co.id/3947332521513297026;https://storage-download.googleapis.com/networkimage/i/9601763952/story_thumbnail_17897926587516545_9601763952.jpg;
7/20/26, 10:00 AM;"PT Prima Armada Raya";"-";0.0;0.0;0.0;0.0;;0.0;343.0;0.0;292.0;343.0;0.0;0.0;0.0;7.0;343.0;;1.0;;1.0;7.0;9601763952;18140615026560520_9601763952;https://www.instagram.com/stories/par.co.id/3945099328712630106;https://storage-download.googleapis.com/networkimage/i/9601763952/story_thumbnail_18140615026560520_9601763952.jpg;
7/19/26, 9:58 AM;"PT Prima Armada Raya";"-";0.0;0.0;0.0;0.0;;0.0;429.0;0.0;348.0;429.0;0.0;0.0;0.0;2.0;429.0;;1.0;;1.0;9.0;9601763952;18116250004895608_9601763952;https://www.instagram.com/stories/par.co.id/3944406365478774779;https://storage-download.googleapis.com/networkimage/i/9601763952/story_thumbnail_18116250004895608_9601763952.jpg;
7/18/26, 10:01 AM;"PT Prima Armada Raya";"-";0.0;0.0;0.0;0.0;;0.0;354.0;0.0;287.0;354.0;0.0;0.0;0.0;3.0;354.0;;1.0;;1.0;7.0;9601763952;17930726295358121_9601763952;https://www.instagram.com/stories/par.co.id/3943683207799011552;https://storage-download.googleapis.com/networkimage/i/9601763952/story_thumbnail_17930726295358121_9601763952.jpg;
