Date;Profile;Message;Number of Likes;Number of comments;Reactions, Comments & Shares;Post interaction rate;Reach per post;Interactions per impression/view;Impressions/views per post;Engagement;Story reach;Story views;Story replies;Story shares;Number of new followers based on the story;Profile visits based on the story;Impressions/views of posts;Number of Carousels/Albums;Number of Image Posts;Number of Reels/Shorts;Number of Stories;Profile-ID;Post-ID;Link;Image Link;
6/12/26, 3:43 PM;"par.co.id";"Sedetik yang Mematikan: AWAS MICROSLEEP ⚠️ Kelihatannya sepele, tapi kehilangan fokus beberapa detik di jalan bisa berdampak besar, terutama saat berkendara jarak jauh. Kalau badan sudah mulai lelah, respons melambat, dan mata terasa berat, itu tanda untuk berhenti sejenak, bukan dipaksa lanjut. Istirahat singkat jauh lebih aman daripada memaksakan perjalanan sampai batas. Utamakan istirahat. Utamakan keselamatan #MelayaniSepenuhHatiDenganPRIMA #AlwaysPRIMA #SelaluPrima #PARMemberOfPertamina";1808.0;50.0;1971.0;0.0764694471387003;451555.0;0.0024829900692994846;793801.0;0.0764694471387003;;;;;;;793801.0;;0.0;;;7320535411884147718;7650426953085865234;https://www.tiktok.com/@par.co.id/video/7650426953085865234;https://p16-common-sign.tiktokcdn.com/tos-alisg-p-0037/oMICXFqg8CADBpDEQfd5AUAgEfjtmKzI8BbAVZ~tplv-tiktokx-cropcenter-q:300:400:q70.webp?dr=14782&refresh_token=31994d2f&x-expires=1785906000&x-signature=%2F7Ra7CekDPHVWVlXeDudfDjl3K0%3D&t=bacd0480&ps=933b5bde&shp=d05b14bd&shcp=8aecc5ac&idc=my&biz_tag=tt_video&s=TIKTOK_FOR_DEVELOPER&sc=cover;
6/12/26, 1:31 PM;"PT Prima Armada Raya";"Seringkali yang terlewat adalah hal sederhana, padahal dampaknya bisa besar bagi operasional.

Yuk, mulai sekarang check kendaraan kamu sebelum berangkat!

#MelayaniSepenuhHatiDenganPRIMA #AlwaysPRIMA #SelaluPrima #PARMemberOfPertamina";860.0;2.0;864.0;0.07586933614330875;35567.0;0.019830613509605452;43569.0;0.07586933614330875;;;;;;;43569.0;;;1.0;;9601763952;17926714152124768;https://www.instagram.com/reel/DZedHYak9_8/;https://scontent-ord5-1.cdninstagram.com/v/t51.82787-15/723238873_18220028314323953_7399916112479226888_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=111&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiQ0xJUFMuYmVzdF9pbWFnZV91cmxnZW4uQzMifQ%3D%3D&_nc_eui2=AeEn3icb7UsF6khvU272mNT_A6_eSjVHUsUDr95KNUdSxSKEYAV2YPVZnp7M90Dxlteqqz3dU771NVRyFq_PVEfS&_nc_ohc=_6HxI-UIvRoQ7kNvwFMaS-B&_nc_oc=AdqzXjiYvGIenVNE3PkkQpDIYvw69mAVphQyqYCErzxAq3uXxaBx5bPUE77IwdTrDww&_nc_zt=23&_nc_ht=scontent-ord5-1.cdninstagram.com&edm=AEQ6tj4EAAAA&_nc_gid=FSx7F2cp7mPxhrNlk00inA&_nc_tpa=Q5bMBQHoZsc7ewTrkdHZBEdQ_wcrZThLLgzoxXETG-puMGjRPs4fwpF1Ito-soAAfqxcSibrAZZwcJb4&oh=00_AQFAzvOBXObvMXSM-ZSdYZkqBn1clxWq9tyBp-VfeGrDEw&oe=6A774058;
6/8/26, 12:56 PM;"PT Prima Armada Raya";"Let’s meet Our Team!

Kamu mau kenalan sama divisi apa lagi nextnya?

#MelayaniSepenuhHatiDenganPRIMA #AlwaysPRIMA #SelaluPrima #PARMemberOfPertamina";597.0;4.0;612.0;0.05457463884430177;14834.0;0.034474988733663815;17752.0;0.05457463884430177;;;;;;;17752.0;;;1.0;;9601763952;18015349850702761;https://www.instagram.com/reel/DZUFxfZp1y-/;https://scontent-ord5-1.cdninstagram.com/v/t51.82787-15/719490939_18219590926323953_8852250386348883238_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=106&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiQ0xJUFMuYmVzdF9pbWFnZV91cmxnZW4uQzMifQ%3D%3D&_nc_eui2=AeH-CdF8gvEacwF1PivWGxYAzp1aBn-GrQTOnVoGf4atBFySOIUb1WPgnIXU0xtAf0-7ogF2GFdLhQvpqoZ48PZg&_nc_ohc=hoLVWZMWUi0Q7kNvwHQtsxp&_nc_oc=AdrENePJQ-jLQA1u_4xLV40Unng6IGM4uIGAcQrbNvp4LbljxaYbu3NjUG1EYRuIPNI&_nc_zt=23&_nc_ht=scontent-ord5-1.cdninstagram.com&edm=AEQ6tj4EAAAA&_nc_gid=mbW3lmbpyCDwDCwBS4fVJA&_nc_tpa=Q5bMBQHzo908_1vY88QTl4iWpNLYMFaENOK2-vziom7fwJssVrbMPRXQvIAnBDOVNyHZKWqxPN_VhMQt&oh=00_AQEdLxC8p_jFdDasPwnhrXp4ZXmc-zZiXt-k6fkvwHq1-A&oe=6A77341D;
6/6/26, 6:00 PM;"PT Prima Armada Raya";"Setiap perjalanan punya cerita, dan kendaraan yang tepat bikin semuanya jadi lebih nyaman ✨

Mulai dari kebutuhan harian sampai perjalanan spesial, semuanya bisa disesuaikan dengan mudah. Tinggal pilih, jalan, dan nikmati setiap momennya.

Karena yang penting bukan hanya sampai tujuan, tapi juga kenyamanan di setiap perjalananmu.

#MelayaniSepenuhHatiDenganPRIMA #AlwaysPRIMA #SelaluPrima #PARMemberOfPertamina";298.0;3.0;311.0;0.02780509611086276;43061.0;0.005714705720218298;54421.0;0.02780509611086276;;;;;;;54421.0;;1.0;;;9601763952;17895534564467016;https://www.instagram.com/p/DZPfNhFD00-/;https://scontent-ord5-1.cdninstagram.com/v/t39.30808-6/715771185_122286306170190187_7653612099957729304_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=106&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiRkVFRC5iZXN0X2ltYWdlX3VybGdlbi5DMyJ9&_nc_eui2=AeGyOKwvAs7YkA97w4bEINJb_oXQj0HAz1H-hdCPQcDPUV90PKDEg6SWOpF5XhxBo5JatTM8WiKEulyL-9Qybsp2&_nc_ohc=YSkENrP1J44Q7kNvwF1MtAV&_nc_oc=Adq7BAXixahxHWmfKoNKQjhQd3SaCwRKRApYybljpGIVhj1lnGVo-hwQE9RLmkxMpDk&_nc_zt=23&_nc_ht=scontent-ord5-1.cdninstagram.com&edm=AEQ6tj4EAAAA&_nc_gid=EkUrVw2mpVGHqVA2x3IKMA&oh=00_AQE3FtGk2YUTrAxaqslWTYo5i0QrVNu2JGl2Y4OYaRVQLA&oe=6A7737B0;
6/11/26, 8:43 AM;"PT Prima Armada Raya";"12 tahun bukan sekadar perjalanan, tapi proses untuk terus belajar melayani lebih baik.

Dari satu titik awal, hingga terus bergerak melintasi waktu, semua dijalani dengan satu komitmen: Melayani sepenuh hati dengan Prima.

Terima kasih atas setiap perjalanan, kepercayaan, dan kebersamaan yang telah dilewati.

Dirgahayu 12 Tahun Prima Armada Raya

#MelayaniSepenuhHatiDenganPRIMA #AlwaysPRIMA #SelaluPrima #PARMemberOfPertamina";229.0;14.0;269.0;0.023600631689770134;1842.0;0.08507273877292852;3162.0;0.023600631689770134;;;;;;;3162.0;;;1.0;;9601763952;18120396712671057;https://www.instagram.com/reel/DZbXUm6JjAf/;https://scontent-ord5-2.cdninstagram.com/v/t51.82787-15/721104317_18219909517323953_4440403774120040745_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=103&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiQ0xJUFMuYmVzdF9pbWFnZV91cmxnZW4uQzMifQ%3D%3D&_nc_eui2=AeFL3VP_1x-N8tsmXozx3E-b9nYdaRjnQN72dh1pGOdA3sxUibrhMgAD1dyQGpYwRBykbr-VVqMZc8xLqcwCeQdO&_nc_ohc=KJGTiLqw6kQQ7kNvwFSdpJ4&_nc_oc=AdrPkg00-AHNuNSTpQObfyaiOjyz4ITXeGzzhg2Tv5qP9GcME8NMvrHBkBln2XDchpw&_nc_zt=23&_nc_ht=scontent-ord5-2.cdninstagram.com&edm=AEQ6tj4EAAAA&_nc_gid=ntNTsmaj0mKPV0xsS6W0oQ&_nc_tpa=Q5bMBQG8uYw4abWGchOenlHLeNUX3riL3OWSciV248aBck_dN6XFk9AdAhyRO7WkNS06wWppidBxYB7_&oh=00_AQHgBHhGnv_f-WGcpEQAD091bxQUjPk49JWBUCef7cd4kA&oe=6A7744C1;
6/1/26, 1:00 PM;"PT Prima Armada Raya";"Fatigue management bukan sekadar isu individu, tapi bagian dari sistem keselamatan operasional.

Kelelahan dapat menurunkan konsentrasi, memperlambat respons, dan meningkatkan risiko di jalan. Karena itu, diperlukan pendekatan yang terstruktur, mulai dari pengaturan jam kerja, monitoring kondisi pengemudi, hingga edukasi berkelanjutan.

Di PT Prima Armada Raya, pengelolaan fatigue menjadi bagian penting untuk menjaga keselamatan, stabilitas operasional, dan kepercayaan klien.

#MelayaniSepenuhHatiDenganPRIMA #AlwaysPRIMA #SelaluPrima #PARMemberOfPertamina";241.0;7.0;258.0;0.02337591736885023;668.0;0.2031496062992126;1270.0;0.02337591736885023;;;;;;;1270.0;1.0;;;;9601763952;17984314691865647;https://www.instagram.com/p/DZCE4S6D0IU/;https://scontent-ord5-2.cdninstagram.com/v/t39.30808-6/711115732_122285269886190187_6799643387946038782_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=104&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiQ0FST1VTRUxfSVRFTS5iZXN0X2ltYWdlX3VybGdlbi5DMyJ9&_nc_eui2=AeGHXiiNHD3oN1iu7Dsxk4IdwP3obmCe-bbA_ehuYJ75tqCZdGMpsOF2E3JpMt5n1pet5wUg7CMZmeiibw1Hu5M8&_nc_ohc=JMFVAv9mOS0Q7kNvwF5WAsx&_nc_oc=AdoJUjfejb8aldLsHjMo4Ig_QxKIYvddsIpdh6sFrDOCdNXw1L2e5X0pGn4677fcXm4&_nc_zt=23&_nc_ht=scontent-ord5-2.cdninstagram.com&edm=AEQ6tj4EAAAA&_nc_gid=-GppzxRnD97BwdIZSIK5Hw&oh=00_AQE9TaWW-3N81qwWR5RE_DVzS8In1s5czvzwgbfNm0VrQA&oe=6A7750B8;
6/12/26, 8:01 AM;"PT Prima Armada Raya";"Sedetik yang Mematikan: AWAS MICROSLEEP ⚠️

Kelihatannya sepele, tapi kehilangan fokus beberapa detik di jalan bisa berdampak besar, terutama saat berkendara jarak jauh. Kalau badan sudah mulai lelah, respons melambat, dan mata terasa berat, itu tanda untuk berhenti sejenak, bukan dipaksa lanjut.

Istirahat singkat jauh lebih aman daripada memaksakan perjalanan sampai batas.
Utamakan istirahat. Utamakan keselamatan

#MelayaniSepenuhHatiDenganPRIMA #AlwaysPRIMA #SelaluPrima #PARMemberOfPertamina";231.0;7.0;243.0;0.021338250790305584;52539.0;0.0043621088911626905;55707.0;0.021338250790305584;;;;;;;55707.0;;;1.0;;9601763952;18122347183732942;https://www.instagram.com/reel/DZd3WfWAb5n/;https://scontent-ord5-3.cdninstagram.com/v/t51.82787-15/722995338_18219996061323953_4711516049261827184_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=109&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiQ0xJUFMuYmVzdF9pbWFnZV91cmxnZW4uQzMifQ%3D%3D&_nc_eui2=AeEpGvC4jlZs2S3gabYFjVmDfcTAQls3g_x9xMBCWzeD_DRVMHCThAfyiuBxVriNsTd9E_Jsh5BOfnjk00-r9BbA&_nc_ohc=HTQFh2zWl_MQ7kNvwHTrluV&_nc_oc=AdphxhMmEpqUmuw9USGvQUx64M2i3r7HDkJOXVATqinBH13meoyyuDfyvoiZMegN4aw&_nc_zt=23&_nc_ht=scontent-ord5-3.cdninstagram.com&edm=AEQ6tj4EAAAA&_nc_gid=_x0mWLvLd9Eq4aSM85dxEg&_nc_tpa=Q5bMBQGimVwLrcuzMjmRWJ-MX6xqaoTo88ggc1iw8KL3MNlD8ylulCIZl75V90MN7XMdETtjythO0Y33&oh=00_AQEC-pIRFGRcc0PoIIl_3OxAyY0v0nlNK3VE5HZLoQ2urw&oe=6A77448F;
6/4/26, 3:16 PM;"PT Prima Armada Raya";"Driver Health = Business Wealth 

Di balik operasional yang lancar, ada peran driver yang sering tidak terlihat. Padahal, kondisi fisik mereka sangat menentukan keamanan di setiap perjalanan.

Driver yang sehat lebih fokus, lebih sigap, dan mampu mengambil keputusan dengan cepat di jalan. Artinya, risiko bisa ditekan dan layanan tetap berjalan konsisten.

Di PAR, kami percaya bahwa menjaga performa driver bukan hanya soal produktivitas, tapi investasi jangka panjang untuk keselamatan dan keberlanjutan operasional. Karena pada akhirnya, bisnis yang kuat dimulai dari tim yang terjaga dengan baik.

#MelayaniSepenuhHatiDenganPRIMA #AlwaysPRIMA #SelaluPrima #PARMemberOfPertamina";193.0;3.0;204.0;0.01828612405880244;822.0;0.12577065351418001;1622.0;0.01828612405880244;;;;;;;1622.0;1.0;;;;9601763952;18060711539717615;https://www.instagram.com/p/DZKCx5oGZe6/;https://scontent-ord5-3.cdninstagram.com/v/t51.82787-15/716799222_18219154462323953_8877390975708905654_n.webp?stp=dst-jpg_e35_tt6&_nc_cat=109&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiQ0FST1VTRUxfSVRFTS5iZXN0X2ltYWdlX3VybGdlbi5DMyJ9&_nc_eui2=AeFXN1O_POyQ_1Qoqkl615m3OHbmsY-BAzU4duaxj4EDNbiANt2QBnRlFOLFAyWAQfL1Teb7iDFWPG8tuZzaoe_v&_nc_ohc=j9EMoV1H0cwQ7kNvwEo5Glo&_nc_oc=Adpdc1w1nTsQ_n5PA6EspOgAfzcTHS79RpqY71AMIVDg1YDkxgH_VUn5zW8Ji75Bn_w&_nc_zt=23&_nc_ht=scontent-ord5-3.cdninstagram.com&edm=AEQ6tj4EAAAA&_nc_gid=9j3TYNmgYugUEwnC08YJIg&oh=00_AQFopbv5EsCSHt8SJv06KeuEDz7kccQqqfuI8b-MSqthBA&oe=6A7751A8;
6/3/26, 1:00 PM;"PT Prima Armada Raya";"Perawatan armada bukan hanya rutinitas, melainkan bagian penting dari menjaga keberlangsungan operasional.

Dengan maintenance yang terjadwal dan terpantau, risiko gangguan dapat diminimalkan, sekaligus memastikan setiap perjalanan tetap aman dan efisien.
Karena operasional yang baik selalu dimulai dari armada yang terjaga.

#MelayaniSepenuhHatiDenganPRIMA #AlwaysPRIMA #SelaluPrima #PARMemberOfPertamina";178.0;6.0;193.0;0.01732340005385513;675.0;0.1581967213114754;1220.0;0.01732340005385513;;;;;;;1220.0;1.0;;;;9601763952;18100637732115048;https://www.instagram.com/p/DZHOextFbr2/;https://scontent-ord5-2.cdninstagram.com/v/t39.30808-6/708180481_122285270834190187_864492888851198002_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=102&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiQ0FST1VTRUxfSVRFTS5iZXN0X2ltYWdlX3VybGdlbi5DMyJ9&_nc_eui2=AeFcWvG6Edf35mMts27lB7beLh2HMQycGswuHYcxDJwazLLIOx5bONhWuCCah5jxd4LS_5diPEoK-OMqb4H1gNL-&_nc_ohc=eF3lSTzcJTcQ7kNvwGsNdPF&_nc_oc=Adqt62QEWYedFiMWNCdwbKZPAHo5OsXDyIjMzW3mj_EVl8IWAZhk8rOGBv_1VRMqxfU&_nc_zt=23&_nc_ht=scontent-ord5-2.cdninstagram.com&edm=AEQ6tj4EAAAA&_nc_gid=zM496xaUCEI0-erREKck6w&oh=00_AQFR6w3PGiJCp79sgIdbMgySVvQgNeB0Vy5PvP1RG_jlAw&oe=6A775C06;
6/7/26, 1:00 PM;"PT Prima Armada Raya";"BBM lebih hemat bukan soal keberuntungan, tapi soal kebiasaan.

Dari cara berkendara, kondisi kendaraan, sampai strategi di jalan, semuanya punya peran dalam menentukan seberapa efisien bahan bakar yang kamu gunakan. Dengan langkah sederhana dan konsisten, kamu nggak cuma bisa menghemat biaya operasional, tapi juga menjaga performa kendaraan tetap optimal dalam jangka panjang.

Mulai dari sekarang, ubah kebiasaan kecil jadi dampak besar.

#MelayaniSepenuhHatiDenganPRIMA #AlwaysPRIMA #SelaluPrima #PARMemberOfPertamina";172.0;5.0;184.0;0.016440314510364547;1232.0;0.07401448109412712;2486.0;0.016440314510364547;;;;;;;2486.0;1.0;;;;9601763952;17994981752960424;https://www.instagram.com/p/DZRhqXIjVYl/;https://scontent-ord5-3.cdninstagram.com/v/t39.30808-6/714736853_122286306584190187_6965767380456112665_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=109&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiQ0FST1VTRUxfSVRFTS5iZXN0X2ltYWdlX3VybGdlbi5DMyJ9&_nc_eui2=AeHE9S5H8WzIdE4zdCHBr_yLGOFzirYraqIY4XOKtitqol94i9zW31olKvqymWvQMT7J0c-5CHstMNDsN9TVzk12&_nc_ohc=Mv9WHHSuWz0Q7kNvwHh2osr&_nc_oc=Adp3sSVFYL2IsPCfih8OuZ6XxlZKO1X_Ri6yZ830sV4nDwwy2GR6Ghv4-yrDgFjx3BI&_nc_zt=23&_nc_ht=scontent-ord5-3.cdninstagram.com&edm=AEQ6tj4EAAAA&_nc_gid=E1j-3yGwGmI6zGga6R4KeQ&oh=00_AQGPzRPWIvKdT31p7yjGI-5GxzWr6QxfFL_X-6KnYF_aCQ&oe=6A774F5F;
