Date;Profile;Message;Number of Likes;Number of comments;Reactions, Comments & Shares;Post interaction rate;Reach per post;Interactions per impression/view;Impressions/views per post;Engagement;Story reach;Story views;Story replies;Story shares;Number of new followers based on the story;Profile visits based on the story;Impressions/views of posts;Number of Carousels/Albums;Number of Image Posts;Number of Reels/Shorts;Number of Stories;Profile-ID;Post-ID;Link;Image Link;
6/12/26, 1:31 PM;"PT Prima Armada Raya";"Seringkali yang terlewat adalah hal sederhana, padahal dampaknya bisa besar bagi operasional.

Yuk, mulai sekarang check kendaraan kamu sebelum berangkat!

#MelayaniSepenuhHatiDenganPRIMA #AlwaysPRIMA #SelaluPrima #PARMemberOfPertamina";858.0;2.0;862.0;0.07569371268001406;35471.0;0.019848945380860274;43428.0;0.07569371268001406;;;;;;;43428.0;;;1.0;;9601763952;17926714152124768;https://www.instagram.com/reel/DZedHYak9_8/;https://scontent-ord5-1.cdninstagram.com/v/t51.82787-15/723238873_18220028314323953_7399916112479226888_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=111&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiQ0xJUFMuYmVzdF9pbWFnZV91cmxnZW4uQzMifQ%3D%3D&_nc_eui2=AeEn3icb7UsF6khvU272mNT_A6_eSjVHUsUDr95KNUdSxSKEYAV2YPVZnp7M90Dxlteqqz3dU771NVRyFq_PVEfS&_nc_ohc=HHmT61IW5YUQ7kNvwEZqORA&_nc_oc=AdoKT6Xub_JAIcnZeiAyH0vj9650zr9uodqo8zDkzNW8UuUDR1cvNgNYPLiPFUKLSdw&_nc_zt=23&_nc_ht=scontent-ord5-1.cdninstagram.com&edm=AEQ6tj4EAAAA&_nc_gid=KfCrhwvOW-o82qVPNoBfnQ&_nc_tpa=Q5bMBQH7V0eEJpkaf9BmNXmIItJ1JJf5_-tuOLf6r50cJyUChWQvGyylSBUoTVzeIlFMvFlNH-xOePF3&oh=00_AQAiVP7cJKzSB-gxyG6HKHXHGgisg0gRDKEPhqhB1s6SnQ&oe=6A5DFB98;
6/8/26, 12:56 PM;"PT Prima Armada Raya";"Let’s meet Our Team!

Kamu mau kenalan sama divisi apa lagi nextnya?

#MelayaniSepenuhHatiDenganPRIMA #AlwaysPRIMA #SelaluPrima #PARMemberOfPertamina";598.0;4.0;613.0;0.05466381309077938;14690.0;0.03484934621944286;17590.0;0.05466381309077938;;;;;;;17590.0;;;1.0;;9601763952;18015349850702761;https://www.instagram.com/reel/DZUFxfZp1y-/;https://scontent-ord5-1.cdninstagram.com/v/t51.82787-15/719490939_18219590926323953_8852250386348883238_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=106&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiQ0xJUFMuYmVzdF9pbWFnZV91cmxnZW4uQzMifQ%3D%3D&_nc_eui2=AeH-CdF8gvEacwF1PivWGxYAzp1aBn-GrQTOnVoGf4atBFySOIUb1WPgnIXU0xtAf0-7ogF2GFdLhQvpqoZ48PZg&_nc_ohc=KIZRXF3ysEEQ7kNvwFefie7&_nc_oc=Adq68W8smTtYx448FiCw4I_aps1xrMmqDy3nY0vmiSE0yN38K6ZnbobSWMWw7aWcEfs&_nc_zt=23&_nc_ht=scontent-ord5-1.cdninstagram.com&edm=AEQ6tj4EAAAA&_nc_gid=EO7tbQhT_BLBuTsRIaCNvA&_nc_tpa=Q5bMBQFd1Wp1G8hqjAOWox0Tee03h7qaK4Xioe77A3SIa5k7Zp_JWqLetrkxbE16wglyu8CVv5BK3sC3&oh=00_AQA-rkX5cTkLRVpk-uRAoUGbgvFZac4VVRvx-xS0JrewHQ&oe=6A5DEF5D;
6/6/26, 6:00 PM;"PT Prima Armada Raya";"Setiap perjalanan punya cerita, dan kendaraan yang tepat bikin semuanya jadi lebih nyaman ✨

Mulai dari kebutuhan harian sampai perjalanan spesial, semuanya bisa disesuaikan dengan mudah. Tinggal pilih, jalan, dan nikmati setiap momennya.

Karena yang penting bukan hanya sampai tujuan, tapi juga kenyamanan di setiap perjalananmu.

#MelayaniSepenuhHatiDenganPRIMA #AlwaysPRIMA #SelaluPrima #PARMemberOfPertamina";298.0;3.0;311.0;0.02780509611086276;42990.0;0.005725331369661266;54320.0;0.02780509611086276;;;;;;;54320.0;;1.0;;;9601763952;17895534564467016;https://www.instagram.com/p/DZPfNhFD00-/;https://scontent-ord5-1.cdninstagram.com/v/t39.30808-6/715771185_122286306170190187_7653612099957729304_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=106&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiRkVFRC5iZXN0X2ltYWdlX3VybGdlbi5DMyJ9&_nc_eui2=AeGyOKwvAs7YkA97w4bEINJb_oXQj0HAz1H-hdCPQcDPUV90PKDEg6SWOpF5XhxBo5JatTM8WiKEulyL-9Qybsp2&_nc_ohc=ovHXMm5WVOkQ7kNvwHWPsbb&_nc_oc=AdogfSEe5u9eoHmuDDjlTNe11Dd9C2FiXg3icyfqKPgPYzNE2-bxCUHbUimeza3cdek&_nc_zt=23&_nc_ht=scontent-ord5-1.cdninstagram.com&edm=AEQ6tj4EAAAA&_nc_gid=3vmbCLm3dHzjrEQbDJBK5Q&oh=00_AQBKLAhKBMbYBqgpZ25fwS64spdi7xiuhSFB7GinGY8ADg&oe=6A5DF2F0;
6/11/26, 8:43 AM;"PT Prima Armada Raya";"12 tahun bukan sekadar perjalanan, tapi proses untuk terus belajar melayani lebih baik.

Dari satu titik awal, hingga terus bergerak melintasi waktu, semua dijalani dengan satu komitmen: Melayani sepenuh hati dengan Prima.

Terima kasih atas setiap perjalanan, kepercayaan, dan kebersamaan yang telah dilewati.

Dirgahayu 12 Tahun Prima Armada Raya

#MelayaniSepenuhHatiDenganPRIMA #AlwaysPRIMA #SelaluPrima #PARMemberOfPertamina";228.0;14.0;268.0;0.023512896999473593;1723.0;0.08836135839103199;3033.0;0.023512896999473593;;;;;;;3033.0;;;1.0;;9601763952;18120396712671057;https://www.instagram.com/reel/DZbXUm6JjAf/;https://scontent-ord5-2.cdninstagram.com/v/t51.82787-15/721104317_18219909517323953_4440403774120040745_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=103&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiQ0xJUFMuYmVzdF9pbWFnZV91cmxnZW4uQzMifQ%3D%3D&_nc_eui2=AeFL3VP_1x-N8tsmXozx3E-b9nYdaRjnQN72dh1pGOdA3sxUibrhMgAD1dyQGpYwRBykbr-VVqMZc8xLqcwCeQdO&_nc_ohc=AJDtr96XzP8Q7kNvwH5HbO4&_nc_oc=AdplJyn_Qa5mfO5UE6b67Pym8m7z3LMGr42duBdTJnPG9WyJwhVk1-7yNXIwASGb2Ns&_nc_zt=23&_nc_ht=scontent-ord5-2.cdninstagram.com&edm=AEQ6tj4EAAAA&_nc_gid=_8j39nstS3rZ8SvECCmryw&_nc_tpa=Q5bMBQGPP-Na1iNo63ECx6gbk6Tb_mkXi9qU8EIVBsRm5Z1dU5Oa5BmGKhEhLt7_aW93w2K_lgK4wN5W&oh=00_AQCfiEbTOkMqYxQUNFppx5hzIY8pjBcKLw6Z2pl8QJ4LrA&oe=6A5E0001;
6/1/26, 1:00 PM;"PT Prima Armada Raya";"Fatigue management bukan sekadar isu individu, tapi bagian dari sistem keselamatan operasional.

Kelelahan dapat menurunkan konsentrasi, memperlambat respons, dan meningkatkan risiko di jalan. Karena itu, diperlukan pendekatan yang terstruktur, mulai dari pengaturan jam kerja, monitoring kondisi pengemudi, hingga edukasi berkelanjutan.

Di PT Prima Armada Raya, pengelolaan fatigue menjadi bagian penting untuk menjaga keselamatan, stabilitas operasional, dan kepercayaan klien.

#MelayaniSepenuhHatiDenganPRIMA #AlwaysPRIMA #SelaluPrima #PARMemberOfPertamina";241.0;7.0;258.0;0.02337591736885023;620.0;0.2157190635451505;1196.0;0.02337591736885023;;;;;;;1196.0;1.0;;;;9601763952;17984314691865647;https://www.instagram.com/p/DZCE4S6D0IU/;https://scontent-ord5-2.cdninstagram.com/v/t39.30808-6/711115732_122285269886190187_6799643387946038782_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=104&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiQ0FST1VTRUxfSVRFTS5iZXN0X2ltYWdlX3VybGdlbi5DMyJ9&_nc_eui2=AeGHXiiNHD3oN1iu7Dsxk4IdwP3obmCe-bbA_ehuYJ75tqCZdGMpsOF2E3JpMt5n1pet5wUg7CMZmeiibw1Hu5M8&_nc_ohc=UGDzJj0CvTgQ7kNvwExwFpK&_nc_oc=Adr5CYaTrrCG_Oy8e-ZY5LSSjkv140ZarMrvUXkoj5c8-eQ9JBmZ5NQpD-gKVoIn7NE&_nc_zt=23&_nc_ht=scontent-ord5-2.cdninstagram.com&edm=AEQ6tj4EAAAA&_nc_gid=9h4O2r5JW6g_Weawz18TZg&oh=00_AQCx7DunDnxAnNnGc3TXJgUAhqE0h1aNfxC9J_A1vCOWaQ&oe=6A5E0BF8;
6/12/26, 8:01 AM;"PT Prima Armada Raya";"Sedetik yang Mematikan: AWAS MICROSLEEP ⚠️

Kelihatannya sepele, tapi kehilangan fokus beberapa detik di jalan bisa berdampak besar, terutama saat berkendara jarak jauh. Kalau badan sudah mulai lelah, respons melambat, dan mata terasa berat, itu tanda untuk berhenti sejenak, bukan dipaksa lanjut.

Istirahat singkat jauh lebih aman daripada memaksakan perjalanan sampai batas.
Utamakan istirahat. Utamakan keselamatan

#MelayaniSepenuhHatiDenganPRIMA #AlwaysPRIMA #SelaluPrima #PARMemberOfPertamina";231.0;7.0;243.0;0.021338250790305584;52395.0;0.004370424992356252;55601.0;0.021338250790305584;;;;;;;55601.0;;;1.0;;9601763952;18122347183732942;https://www.instagram.com/reel/DZd3WfWAb5n/;https://scontent-ord5-3.cdninstagram.com/v/t51.82787-15/722995338_18219996061323953_4711516049261827184_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=109&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiQ0xJUFMuYmVzdF9pbWFnZV91cmxnZW4uQzMifQ%3D%3D&_nc_eui2=AeEpGvC4jlZs2S3gabYFjVmDfcTAQls3g_x9xMBCWzeD_DRVMHCThAfyiuBxVriNsTd9E_Jsh5BOfnjk00-r9BbA&_nc_ohc=40VOpml_bSkQ7kNvwH6HS2x&_nc_oc=Adom9xfPAASmHYPctrlgeTam5vMF3Vu9sdxPby0U_bU2tP6h0kQG56MhGbVBYqhYbdg&_nc_zt=23&_nc_ht=scontent-ord5-3.cdninstagram.com&edm=AEQ6tj4EAAAA&_nc_gid=ic98zqxog_dgTBbbBQxmrw&_nc_tpa=Q5bMBQFIA1Dhv2F3YTLBNx9bygtcg6OAPyAt2A_1tt7tok1eOL05hc2zw3KO-ThtvGgXxEkTrUNj9X8t&oh=00_AQB_YEXaPZHHbE0PjE0DuaybDJ_uTndmI9LW-sBwnz5q9w&oe=6A5DFFCF;
6/4/26, 3:16 PM;"PT Prima Armada Raya";"Driver Health = Business Wealth 

Di balik operasional yang lancar, ada peran driver yang sering tidak terlihat. Padahal, kondisi fisik mereka sangat menentukan keamanan di setiap perjalanan.

Driver yang sehat lebih fokus, lebih sigap, dan mampu mengambil keputusan dengan cepat di jalan. Artinya, risiko bisa ditekan dan layanan tetap berjalan konsisten.

Di PAR, kami percaya bahwa menjaga performa driver bukan hanya soal produktivitas, tapi investasi jangka panjang untuk keselamatan dan keberlanjutan operasional. Karena pada akhirnya, bisnis yang kuat dimulai dari tim yang terjaga dengan baik.

#MelayaniSepenuhHatiDenganPRIMA #AlwaysPRIMA #SelaluPrima #PARMemberOfPertamina";196.0;3.0;207.0;0.018555037647902475;767.0;0.1346779440468445;1537.0;0.018555037647902475;;;;;;;1537.0;1.0;;;;9601763952;18060711539717615;https://www.instagram.com/p/DZKCx5oGZe6/;https://scontent-ord5-3.cdninstagram.com/v/t51.82787-15/716799222_18219154462323953_8877390975708905654_n.webp?stp=dst-jpg_e35_tt6&_nc_cat=109&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiQ0FST1VTRUxfSVRFTS5iZXN0X2ltYWdlX3VybGdlbi5DMyJ9&_nc_eui2=AeFXN1O_POyQ_1Qoqkl615m3OHbmsY-BAzU4duaxj4EDNbiANt2QBnRlFOLFAyWAQfL1Teb7iDFWPG8tuZzaoe_v&_nc_ohc=oRq-xJ8OW3oQ7kNvwFvnfei&_nc_oc=Adr4qgOqtB7L-kJ2L6Y82yYEJXg-FowaaF_otK4aD57N3xwhEWtLfkbAk8oBBvG886k&_nc_zt=23&_nc_ht=scontent-ord5-3.cdninstagram.com&edm=AEQ6tj4EAAAA&_nc_gid=55LgHSTrimUI5vcb6ttx4Q&oh=00_AQBisrJpWFY0_cjXMi6Ea_QofxYPNfGHP9SJUatE5834JA&oe=6A5E0CE8;
6/3/26, 1:00 PM;"PT Prima Armada Raya";"Perawatan armada bukan hanya rutinitas, melainkan bagian penting dari menjaga keberlangsungan operasional.

Dengan maintenance yang terjadwal dan terpantau, risiko gangguan dapat diminimalkan, sekaligus memastikan setiap perjalanan tetap aman dan efisien.
Karena operasional yang baik selalu dimulai dari armada yang terjaga.

#MelayaniSepenuhHatiDenganPRIMA #AlwaysPRIMA #SelaluPrima #PARMemberOfPertamina";178.0;6.0;193.0;0.01732340005385513;617.0;0.1691498685363716;1141.0;0.01732340005385513;;;;;;;1141.0;1.0;;;;9601763952;18100637732115048;https://www.instagram.com/p/DZHOextFbr2/;https://scontent-ord5-2.cdninstagram.com/v/t39.30808-6/708180481_122285270834190187_864492888851198002_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=102&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiQ0FST1VTRUxfSVRFTS5iZXN0X2ltYWdlX3VybGdlbi5DMyJ9&_nc_eui2=AeFcWvG6Edf35mMts27lB7beLh2HMQycGswuHYcxDJwazLLIOx5bONhWuCCah5jxd4LS_5diPEoK-OMqb4H1gNL-&_nc_ohc=zqrMErwbmSIQ7kNvwGxmrNd&_nc_oc=Adp7y6jH9sYnF25Y7D9TlhcL_S7cXUS3Y9xRQr-jeL5vIzAuszq-w5OzWECjHwyUGRk&_nc_zt=23&_nc_ht=scontent-ord5-2.cdninstagram.com&edm=AEQ6tj4EAAAA&_nc_gid=m20P-NG5s58ZgdorIWzVOQ&oh=00_AQAgtC9_Uro4G9W9UK0NemvakGvY7vZUVoUuJlMkiLlgtQ&oe=6A5E1746;
6/7/26, 1:00 PM;"PT Prima Armada Raya";"BBM lebih hemat bukan soal keberuntungan, tapi soal kebiasaan.

Dari cara berkendara, kondisi kendaraan, sampai strategi di jalan, semuanya punya peran dalam menentukan seberapa efisien bahan bakar yang kamu gunakan. Dengan langkah sederhana dan konsisten, kamu nggak cuma bisa menghemat biaya operasional, tapi juga menjaga performa kendaraan tetap optimal dalam jangka panjang.

Mulai dari sekarang, ubah kebiasaan kecil jadi dampak besar.

#MelayaniSepenuhHatiDenganPRIMA #AlwaysPRIMA #SelaluPrima #PARMemberOfPertamina";172.0;5.0;184.0;0.016440314510364547;1157.0;0.07766990291262135;2369.0;0.016440314510364547;;;;;;;2369.0;1.0;;;;9601763952;17994981752960424;https://www.instagram.com/p/DZRhqXIjVYl/;https://scontent-ord5-3.cdninstagram.com/v/t39.30808-6/714736853_122286306584190187_6965767380456112665_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=109&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiQ0FST1VTRUxfSVRFTS5iZXN0X2ltYWdlX3VybGdlbi5DMyJ9&_nc_eui2=AeHE9S5H8WzIdE4zdCHBr_yLGOFzirYraqIY4XOKtitqol94i9zW31olKvqymWvQMT7J0c-5CHstMNDsN9TVzk12&_nc_ohc=yAAf7EGwdpEQ7kNvwEke4QD&_nc_oc=AdrtiBkECHrCpd1F_sI2fNXR0kr3f8LILXBgZxfSa9f6bS2KQC6aS2Uf868GcXY71uY&_nc_zt=23&_nc_ht=scontent-ord5-3.cdninstagram.com&edm=AEQ6tj4EAAAA&_nc_gid=NN9hPOZSEXajGoEmAP44uA&oh=00_AQA7lkzu6wEx-hyGf3oe1vBOzAdTw9wWeaYgDTgINBAuag&oe=6A5E0A9F;
6/5/26, 2:00 PM;"PT Prima Armada Raya";"Jangkauan layanan bukan sekadar luas, tapi tentang bagaimana operasional tetap berjalan tanpa hambatan.

Dengan dukungan 30+ area operasional dan cakupan hampir di seluruh Indonesia, PT Prima Armada Raya memastikan setiap kebutuhan mobilitas bisnis dapat terpenuhi secara lebih terintegrasi.

Karena bagi kami, distribusi dan transportasi bukan hanya soal berpindah tempat, tetapi tentang menjaga konsistensi, ketepatan, dan keandalan di setiap perjalanan.

#MelayaniSepenuhHatiDenganPRIMA #AlwaysPRIMA #SelaluPrima #PARMemberOfPertamina";165.0;3.0;176.0;0.015748031496062992;977.0;0.10298420128730251;1709.0;0.015748031496062992;;;;;;;1709.0;1.0;;;;9601763952;17860339008650026;https://www.instagram.com/p/DZMe8CPjNE8/;https://scontent-ord5-1.cdninstagram.com/v/t39.30808-6/715670872_122286305804190187_7230808228995698055_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=106&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiQ0FST1VTRUxfSVRFTS5iZXN0X2ltYWdlX3VybGdlbi5DMyJ9&_nc_eui2=AeHKAvGqSsRckKp5L2sMigsA9j0l22f3IXr2PSXbZ_chetcGFSxF_1wylPTXbcYhPWCFGRWEQEkvACCxf_UuBr86&_nc_ohc=D5ygb442QrsQ7kNvwFZbcQ6&_nc_oc=Ado0HzafgUeH2KtAQ329ivQ76-WEuqTzH9bZ4RZG5fZQDU6_2F4CQS8YfCaBspiUrls&_nc_zt=23&_nc_ht=scontent-ord5-1.cdninstagram.com&edm=AEQ6tj4EAAAA&_nc_gid=_SScutRwZuqu1y_hAe1E9g&oh=00_AQBaNp2bgber_jITD1IKplMyPMHBd0MVA_NtmD6v_D5wzw&oe=6A5DF88F;
