Date;Profile;Message;Number of Likes;Number of comments;Reactions, Comments & Shares;Post interaction rate;Reach per post;Interactions per impression/view;Impressions/views per post;Engagement;Story reach;Story views;Story replies;Story shares;Number of new followers based on the story;Profile visits based on the story;Impressions/views of posts;Number of Carousels/Albums;Number of Image Posts;Number of Reels/Shorts;Number of Stories;Profile-ID;Post-ID;Link;Image Link;
5/30/26, 10:00 AM;"PT Prima Armada Raya";"Bantu Kami Menemukan Jalan yang Tepat!

Arah mana yang harus dipilih? 🤔
Rute A, B, atau C?

💬 Ikuti giveaway dan menangkan total hadiah Rp500.000 untuk pemenang terpilih!

Cara ikut:

1. Follow @par.co.id dan like postingan ini
2. Share postingan ini ke IG Story & tag @par.co.id
3. Tulis jawaban (A / B / C) di kolom komentar dan tag 3 teman kamu

📅 Periode: sampai 11 Juni 2026
🏆 Pemenang akan diumumkan setelah periode berakhir

Yuk, pilih jawabanmu sekarang! 🚀

#MelayaniSepenuhHatiDenganPRIMA #AlwaysPRIMA #SelaluPrima #PARMemberOfPertamina";1413.0;5914.0;7589.0;0.6970058780308597;7695.0;0.3183839570397718;23836.0;0.6970058780308597;;;;;;;23836.0;;1.0;;;9601763952;18095743727223393;https://www.instagram.com/p/DY8msPCidgI/;https://us-central1-fanpagekarma.cloudfunctions.net/img_in?mediaId=18095743727223393&access_token=EAAF4y12rbhoBSEJXTnDZCXcDV0F36qvUzKBQYpOfkyQYYxhv7nndgJoJZCI64P6UX4oUbY14gESJzZCu1jJLfHkeZBvPMDLPnspak8Np6ovZCrCdKUVxKxjYPbdZCCbFFaU8c7SOnlKWpEjZApwgwPDSjCbQY896U2VdKnyefI6PqB71cudeUO5yXm8tupZA;
5/30/26, 10:10 AM;"Prima Armada Raya";"Bantu Kami Menemukan Jalan yang Tepat!

Arah mana yang harus dipilih? 🤔
Rute A, B, atau C?

💬 Ikuti giveaway dan menangkan total hadiah Rp500.000 untuk pemenang terpilih!

Cara ikut:

1. Follow @par.co.id dan like postingan ini
2. Share postingan ini ke IG Story & tag @par.co.id
3. Tulis jawaban (A / B / C) di kolom komentar dan tag 3 teman kamu

📅 Periode: sampai 11 Juni 2026
🏆 Pemenang akan diumumkan setelah periode berakhir

Yuk, pilih jawabanmu sekarang! 🚀

#MelayaniSepenuhHatiDenganPRIMA #AlwaysPRIMA #SelaluPrima #PARMemberOfPertamina";267.0;354.0;791.0;0.28443006112909025;6804.0;0.06636462790502559;11919.0;0.28443006112909025;;;;;;;11919.0;;1.0;;;211065008758674;211065008758674_122285448374190187;https://www.facebook.com/122101170074190187/posts/122285448374190187;https://us-central1-fanpagekarma.cloudfunctions.net/img_fb?fb_post_id=211065008758674_122285448374190187&access_token=EAAF4y12rbhoBSEJXTnDZCXcDV0F36qvUzKBQYpOfkyQYYxhv7nndgJoJZCI64P6UX4oUbY14gESJzZCu1jJLfHkeZBvPMDLPnspak8Np6ovZCrCdKUVxKxjYPbdZCCbFFaU8c7SOnlKWpEjZApwgwPDSjCbQY896U2VdKnyefI6PqB71cudeUO5yXm8tupZA;
5/18/26, 4:36 PM;"PT Prima Armada Raya";"Padahal udah nganterin sampe ke mobil lho ini 🥹🙏

#MelayaniSepenuhHatiDenganPRIMA #AlwaysPRIMA #SelaluPrima #PARMemberOfPertamina";1478.0;2.0;1482.0;0.14339622641509434;169219.0;0.005312741977114342;278952.0;0.14339622641509434;;;;;;;278952.0;;;1.0;;9601763952;18049693601764799;https://www.instagram.com/reel/DYeaVvXpXMf/;https://us-central1-fanpagekarma.cloudfunctions.net/img_in?mediaId=18049693601764799&access_token=EAAF4y12rbhoBSEJXTnDZCXcDV0F36qvUzKBQYpOfkyQYYxhv7nndgJoJZCI64P6UX4oUbY14gESJzZCu1jJLfHkeZBvPMDLPnspak8Np6ovZCrCdKUVxKxjYPbdZCCbFFaU8c7SOnlKWpEjZApwgwPDSjCbQY896U2VdKnyefI6PqB71cudeUO5yXm8tupZA;
5/11/26, 5:02 PM;"PT Prima Armada Raya";"Kami dengan bangga menerima Gold Award dalam WSO Indonesia Safety Culture Award 2026 (WISCA) ✨

Sebuah apresiasi atas upaya berkelanjutan dalam membangun budaya keselamatan kerja yang kuat dan berkelanjutan. Lebih dari sekadar kepatuhan, safety culture adalah tentang bagaimana setiap individu memiliki kesadaran, kepedulian, dan keberanian untuk menjaga satu sama lain di tempat kerja. Ini adalah fondasi yang kami bangun setiap hari, melalui kolaborasi, komunikasi terbuka, dan konsistensi dalam menerapkan prinsip K3.

Penghargaan ini bukanlah akhir, melainkan pengingat untuk terus bertumbuh dan meningkatkan standar keselamatan di setiap lini.
Terima kasih kepada seluruh tim yang telah menjadi bagian dari perjalanan ini. 🤝

Bersama, kita ciptakan lingkungan kerja yang lebih aman dan berkelanjutan.

#SafetyCulture #WISCA2026 #WSOIndonesia #LayananPRIMA";1022.0;2.0;1027.0;0.09922705314009662;135201.0;0.004902101173258489;209502.0;0.09922705314009662;;;;;;;209502.0;1.0;;;;9601763952;18053192900721211;https://www.instagram.com/p/DYMbzx_GRLi/;https://us-central1-fanpagekarma.cloudfunctions.net/img_in?mediaId=18053192900721211&access_token=EAAF4y12rbhoBSEJXTnDZCXcDV0F36qvUzKBQYpOfkyQYYxhv7nndgJoJZCI64P6UX4oUbY14gESJzZCu1jJLfHkeZBvPMDLPnspak8Np6ovZCrCdKUVxKxjYPbdZCCbFFaU8c7SOnlKWpEjZApwgwPDSjCbQY896U2VdKnyefI6PqB71cudeUO5yXm8tupZA;
5/29/26, 12:37 PM;"PT Prima Armada Raya";"Setelah selesai nganter tamu, saatnya PRIMA Driver yang rehat sejenak sambil dengerin lagu favorit.

#MelayaniSepenuhHatiDenganPRIMA #AlwaysPRIMA #SelaluPrima #PARMemberOfPertamina";448.0;14.0;469.0;0.04351860443537162;2027.0;0.1569611780455154;2988.0;0.04351860443537162;;;;;;;2988.0;;;1.0;;9601763952;18099980354516156;https://www.instagram.com/reel/DY6TwnypltW/;https://us-central1-fanpagekarma.cloudfunctions.net/img_in?mediaId=18099980354516156&access_token=EAAF4y12rbhoBSEJXTnDZCXcDV0F36qvUzKBQYpOfkyQYYxhv7nndgJoJZCI64P6UX4oUbY14gESJzZCu1jJLfHkeZBvPMDLPnspak8Np6ovZCrCdKUVxKxjYPbdZCCbFFaU8c7SOnlKWpEjZApwgwPDSjCbQY896U2VdKnyefI6PqB71cudeUO5yXm8tupZA;
5/12/26, 1:00 PM;"PT Prima Armada Raya";"Di momen seperti ini, kebutuhan mobilitas sering kali meningkat secara tiba-tiba. 

Tanpa perencanaan yang tepat, keterbatasan armada bisa berdampak pada operasional. Melalui layanan sewa kendaraan korporasi dari Prima Armada Raya, perusahaan dapat mengantisipasi lonjakan kebutuhan transportasi dengan lebih fleksibel dan efisien.

Mulai dari ketersediaan armada yang siap digunakan hingga sistem operasional yang profesional, semua dirancang untuk memastikan mobilitas tetap lancar, bahkan di periode high demand.

Saatnya pastikan tim Anda tetap bergerak, tanpa kendala.
Segera diskusikan kebutuhan logistik bisnismu bersama tim PAR.

#MelayaniSepenuhHatiDenganPRIMA #AlwaysPRIMA #SelaluPrima #PARMemberOfPertamina";312.0;1.0;315.0;0.030428902627511592;77791.0;0.0022724321516686143;138618.0;0.030428902627511592;;;;;;;138618.0;1.0;;;;9601763952;17878453641595209;https://www.instagram.com/p/DYOk7OnAWA9/;https://us-central1-fanpagekarma.cloudfunctions.net/img_in?mediaId=17878453641595209&access_token=EAAF4y12rbhoBSEJXTnDZCXcDV0F36qvUzKBQYpOfkyQYYxhv7nndgJoJZCI64P6UX4oUbY14gESJzZCu1jJLfHkeZBvPMDLPnspak8Np6ovZCrCdKUVxKxjYPbdZCCbFFaU8c7SOnlKWpEjZApwgwPDSjCbQY896U2VdKnyefI6PqB71cudeUO5yXm8tupZA;
5/27/26, 11:55 AM;"PT Prima Armada Raya";"Konsistensi layanan adalah fondasi operasional yang andal.

Di PT Prima Armada Raya, standar yang sama diterapkan di setiap kondisi, baik saat operasional normal maupun di periode dengan demand tinggi.

Melalui sistem yang terstruktur, pengemudi terlatih, dan monitoring berkelanjutan, kami memastikan performa tetap stabil di setiap kilometer.

#MelayaniSepenuhHatiDenganPRIMA #AlwaysPRIMA #SelaluPrima #PARMemberOfPertamina";287.0;9.0;301.0;0.028007816134735276;896.0;0.1953277092796885;1541.0;0.028007816134735276;;;;;;;1541.0;1.0;;;;9601763952;18009326969871186;https://www.instagram.com/p/DY1FZqwjsMw/;https://us-central1-fanpagekarma.cloudfunctions.net/img_in?mediaId=18009326969871186&access_token=EAAF4y12rbhoBSEJXTnDZCXcDV0F36qvUzKBQYpOfkyQYYxhv7nndgJoJZCI64P6UX4oUbY14gESJzZCu1jJLfHkeZBvPMDLPnspak8Np6ovZCrCdKUVxKxjYPbdZCCbFFaU8c7SOnlKWpEjZApwgwPDSjCbQY896U2VdKnyefI6PqB71cudeUO5yXm8tupZA;
5/25/26, 11:31 AM;"PT Prima Armada Raya";"Dalam bisnis, risiko di jalan bukan hanya soal kendaraan, tapi dampaknya ke seluruh operasional.

Keterlambatan, kerusakan barang, hingga gangguan distribusi sering berawal dari hal yang bisa diantisipasi: standar keselamatan.

Karena itu, memastikan armada tetap aman bukan lagi pilihan, tapi kebutuhan. Pastikan distribusimu berjalan lebih tenang bersama partner yang tepat.

#MelayaniSepenuhHatiDenganPRIMA #AlwaysPRIMA #SelaluPrima #PARMemberOfPertamina";282.0;4.0;289.0;0.026991687680956385;1006.0;0.17305389221556886;1670.0;0.026991687680956385;;;;;;;1670.0;1.0;;;;9601763952;17897693676304842;https://www.instagram.com/p/DYv5EriGWXN/;https://us-central1-fanpagekarma.cloudfunctions.net/img_in?mediaId=17897693676304842&access_token=EAAF4y12rbhoBSEJXTnDZCXcDV0F36qvUzKBQYpOfkyQYYxhv7nndgJoJZCI64P6UX4oUbY14gESJzZCu1jJLfHkeZBvPMDLPnspak8Np6ovZCrCdKUVxKxjYPbdZCCbFFaU8c7SOnlKWpEjZApwgwPDSjCbQY896U2VdKnyefI6PqB71cudeUO5yXm8tupZA;
5/26/26, 1:30 PM;"PT Prima Armada Raya";"Kantuk saat berkendara bukan hal sepele, ini salah satu faktor risiko terbesar di jalan.

Mulai dari istirahat cukup, mengenali tanda lelah, hingga disiplin mengambil jeda, semuanya berperan menjaga keselamatan. Bagi perusahaan, memastikan kesiapan driver bukan hanya tanggung jawab individu, tapi bagian dari standar operasional.

Karena perjalanan yang aman selalu dimulai dari kondisi pengemudi yang optimal.

#MelayaniSepenuhHatiDenganPRIMA #AlwaysPRIMA #SelaluPrima #PARMemberOfPertamina";271.0;8.0;283.0;0.026364822060741568;1095.0;0.16463059918557302;1719.0;0.026364822060741568;;;;;;;1719.0;1.0;;;;9601763952;17952678003033890;https://www.instagram.com/p/DYyrfaJgUIx/;https://us-central1-fanpagekarma.cloudfunctions.net/img_in?mediaId=17952678003033890&access_token=EAAF4y12rbhoBSEJXTnDZCXcDV0F36qvUzKBQYpOfkyQYYxhv7nndgJoJZCI64P6UX4oUbY14gESJzZCu1jJLfHkeZBvPMDLPnspak8Np6ovZCrCdKUVxKxjYPbdZCCbFFaU8c7SOnlKWpEjZApwgwPDSjCbQY896U2VdKnyefI6PqB71cudeUO5yXm8tupZA;
5/14/26, 10:32 AM;"PT Prima Armada Raya";"Sinergi Menuju Masa Depan yang Tangguh

PT Prima Armada Raya sukses menyelenggarakan RUPST Tahun Buku 2025 di Jakarta (12/05). Pertemuan ini bukan sekadar evaluasi, tapi bukti komitmen kami bersama PT Patra Jasa dan PT Pertamina Training & Consulting dalam memperkokoh tata kelola perusahaan yang bersih dan berintegritas.

Capaian positif di tahun 2025 menjadi fondasi kuat bagi kami untuk terus memberikan value creation bagi seluruh mitra bisnis.

Terima kasih atas kepercayaan berkelanjutan dari para pemegang saham dan pemangku kepentingan. Kami siap melaju lebih jauh, memberikan layanan prima di setiap perjalanan! 🚀

#PrimaArmadaRaya #PAR #RUPST2025 #SinergiStrategis #LayananPrima";262.0;5.0;268.0;0.025906234896085064;2904.0;0.04474870596092837;5989.0;0.025906234896085064;;;;;;;5989.0;1.0;;;;9601763952;18142744780507751;https://www.instagram.com/p/DYTdlplGUlh/;https://us-central1-fanpagekarma.cloudfunctions.net/img_in?mediaId=18142744780507751&access_token=EAAF4y12rbhoBSEJXTnDZCXcDV0F36qvUzKBQYpOfkyQYYxhv7nndgJoJZCI64P6UX4oUbY14gESJzZCu1jJLfHkeZBvPMDLPnspak8Np6ovZCrCdKUVxKxjYPbdZCCbFFaU8c7SOnlKWpEjZApwgwPDSjCbQY896U2VdKnyefI6PqB71cudeUO5yXm8tupZA;
