Date;Profile;Message;Number of Likes;Number of comments;Reactions, Comments & Shares;Post interaction rate;Reach per post;Interactions per impression/view;Impressions/views per post;Engagement;Story reach;Story views;Story replies;Story shares;Number of new followers based on the story;Profile visits based on the story;Impressions/views of posts;Number of Carousels/Albums;Number of Image Posts;Number of Reels/Shorts;Number of Stories;Profile-ID;Post-ID;Link;Image Link;
5/30/26, 10:00 AM;"PT Prima Armada Raya";"Bantu Kami Menemukan Jalan yang Tepat!

Arah mana yang harus dipilih? 🤔
Rute A, B, atau C?

💬 Ikuti giveaway dan menangkan total hadiah Rp500.000 untuk pemenang terpilih!

Cara ikut:

1. Follow @par.co.id dan like postingan ini
2. Share postingan ini ke IG Story & tag @par.co.id
3. Tulis jawaban (A / B / C) di kolom komentar dan tag 3 teman kamu

📅 Periode: sampai 11 Juni 2026
🏆 Pemenang akan diumumkan setelah periode berakhir

Yuk, pilih jawabanmu sekarang! 🚀

#MelayaniSepenuhHatiDenganPRIMA #AlwaysPRIMA #SelaluPrima #PARMemberOfPertamina";1415.0;5914.0;7591.0;0.6971895664952241;7630.0;0.3196883554432512;23745.0;0.6971895664952241;;;;;;;23745.0;;1.0;;;9601763952;18095743727223393;https://www.instagram.com/p/DY8msPCidgI/;https://us-central1-fanpagekarma.cloudfunctions.net/img_in?mediaId=18095743727223393&access_token=EAAF4y12rbhoBR3AeS7s14Os9n5PDvZAB9g8icE8db1XGy6n2BwhwIgaA6k13bg5Bjj0p3TPzxRhT4oEP8dCWT7bAeAkAScZB9jahH1m3f2ghCOnVrDGAsR35oVaZA5HjgiJerniqZAkKBYDOjCF8LfaZASswMGlTKEsxI23O68aVHbKdzC3BhyfrGLnhhEXU9;
5/18/26, 4:36 PM;"PT Prima Armada Raya";"Padahal udah nganterin sampe ke mobil lho ini 🥹🙏

#MelayaniSepenuhHatiDenganPRIMA #AlwaysPRIMA #SelaluPrima #PARMemberOfPertamina";1476.0;2.0;1480.0;0.1432027092404451;169167.0;0.0053071323555778675;278870.0;0.1432027092404451;;;;;;;278870.0;;;1.0;;9601763952;18049693601764799;https://www.instagram.com/reel/DYeaVvXpXMf/;https://us-central1-fanpagekarma.cloudfunctions.net/img_in?mediaId=18049693601764799&access_token=EAAF4y12rbhoBR3AeS7s14Os9n5PDvZAB9g8icE8db1XGy6n2BwhwIgaA6k13bg5Bjj0p3TPzxRhT4oEP8dCWT7bAeAkAScZB9jahH1m3f2ghCOnVrDGAsR35oVaZA5HjgiJerniqZAkKBYDOjCF8LfaZASswMGlTKEsxI23O68aVHbKdzC3BhyfrGLnhhEXU9;
5/11/26, 5:02 PM;"PT Prima Armada Raya";"Kami dengan bangga menerima Gold Award dalam WSO Indonesia Safety Culture Award 2026 (WISCA) ✨

Sebuah apresiasi atas upaya berkelanjutan dalam membangun budaya keselamatan kerja yang kuat dan berkelanjutan. Lebih dari sekadar kepatuhan, safety culture adalah tentang bagaimana setiap individu memiliki kesadaran, kepedulian, dan keberanian untuk menjaga satu sama lain di tempat kerja. Ini adalah fondasi yang kami bangun setiap hari, melalui kolaborasi, komunikasi terbuka, dan konsistensi dalam menerapkan prinsip K3.

Penghargaan ini bukanlah akhir, melainkan pengingat untuk terus bertumbuh dan meningkatkan standar keselamatan di setiap lini.
Terima kasih kepada seluruh tim yang telah menjadi bagian dari perjalanan ini. 🤝

Bersama, kita ciptakan lingkungan kerja yang lebih aman dan berkelanjutan.

#SafetyCulture #WISCA2026 #WSOIndonesia #LayananPRIMA";1023.0;2.0;1028.0;0.09932367149758455;135176.0;0.0049077880102929876;209463.0;0.09932367149758455;;;;;;;209463.0;1.0;;;;9601763952;18053192900721211;https://www.instagram.com/p/DYMbzx_GRLi/;https://us-central1-fanpagekarma.cloudfunctions.net/img_in?mediaId=18053192900721211&access_token=EAAF4y12rbhoBR3AeS7s14Os9n5PDvZAB9g8icE8db1XGy6n2BwhwIgaA6k13bg5Bjj0p3TPzxRhT4oEP8dCWT7bAeAkAScZB9jahH1m3f2ghCOnVrDGAsR35oVaZA5HjgiJerniqZAkKBYDOjCF8LfaZASswMGlTKEsxI23O68aVHbKdzC3BhyfrGLnhhEXU9;
5/29/26, 12:37 PM;"PT Prima Armada Raya";"Setelah selesai nganter tamu, saatnya PRIMA Driver yang rehat sejenak sambil dengerin lagu favorit.

#MelayaniSepenuhHatiDenganPRIMA #AlwaysPRIMA #SelaluPrima #PARMemberOfPertamina";448.0;14.0;469.0;0.04351860443537162;1964.0;0.1619475138121547;2896.0;0.04351860443537162;;;;;;;2896.0;;;1.0;;9601763952;18099980354516156;https://www.instagram.com/reel/DY6TwnypltW/;https://us-central1-fanpagekarma.cloudfunctions.net/img_in?mediaId=18099980354516156&access_token=EAAF4y12rbhoBR3AeS7s14Os9n5PDvZAB9g8icE8db1XGy6n2BwhwIgaA6k13bg5Bjj0p3TPzxRhT4oEP8dCWT7bAeAkAScZB9jahH1m3f2ghCOnVrDGAsR35oVaZA5HjgiJerniqZAkKBYDOjCF8LfaZASswMGlTKEsxI23O68aVHbKdzC3BhyfrGLnhhEXU9;
5/12/26, 1:00 PM;"PT Prima Armada Raya";"Di momen seperti ini, kebutuhan mobilitas sering kali meningkat secara tiba-tiba. 

Tanpa perencanaan yang tepat, keterbatasan armada bisa berdampak pada operasional. Melalui layanan sewa kendaraan korporasi dari Prima Armada Raya, perusahaan dapat mengantisipasi lonjakan kebutuhan transportasi dengan lebih fleksibel dan efisien.

Mulai dari ketersediaan armada yang siap digunakan hingga sistem operasional yang profesional, semua dirancang untuk memastikan mobilitas tetap lancar, bahkan di periode high demand.

Saatnya pastikan tim Anda tetap bergerak, tanpa kendala.
Segera diskusikan kebutuhan logistik bisnismu bersama tim PAR.

#MelayaniSepenuhHatiDenganPRIMA #AlwaysPRIMA #SelaluPrima #PARMemberOfPertamina";312.0;1.0;315.0;0.030428902627511592;77753.0;0.0022733833718244804;138560.0;0.030428902627511592;;;;;;;138560.0;1.0;;;;9601763952;17878453641595209;https://www.instagram.com/p/DYOk7OnAWA9/;https://us-central1-fanpagekarma.cloudfunctions.net/img_in?mediaId=17878453641595209&access_token=EAAF4y12rbhoBR3AeS7s14Os9n5PDvZAB9g8icE8db1XGy6n2BwhwIgaA6k13bg5Bjj0p3TPzxRhT4oEP8dCWT7bAeAkAScZB9jahH1m3f2ghCOnVrDGAsR35oVaZA5HjgiJerniqZAkKBYDOjCF8LfaZASswMGlTKEsxI23O68aVHbKdzC3BhyfrGLnhhEXU9;
5/27/26, 11:55 AM;"PT Prima Armada Raya";"Konsistensi layanan adalah fondasi operasional yang andal.

Di PT Prima Armada Raya, standar yang sama diterapkan di setiap kondisi, baik saat operasional normal maupun di periode dengan demand tinggi.

Melalui sistem yang terstruktur, pengemudi terlatih, dan monitoring berkelanjutan, kami memastikan performa tetap stabil di setiap kilometer.

#MelayaniSepenuhHatiDenganPRIMA #AlwaysPRIMA #SelaluPrima #PARMemberOfPertamina";287.0;9.0;301.0;0.028007816134735276;844.0;0.2053206002728513;1466.0;0.028007816134735276;;;;;;;1466.0;1.0;;;;9601763952;18009326969871186;https://www.instagram.com/p/DY1FZqwjsMw/;https://us-central1-fanpagekarma.cloudfunctions.net/img_in?mediaId=18009326969871186&access_token=EAAF4y12rbhoBR3AeS7s14Os9n5PDvZAB9g8icE8db1XGy6n2BwhwIgaA6k13bg5Bjj0p3TPzxRhT4oEP8dCWT7bAeAkAScZB9jahH1m3f2ghCOnVrDGAsR35oVaZA5HjgiJerniqZAkKBYDOjCF8LfaZASswMGlTKEsxI23O68aVHbKdzC3BhyfrGLnhhEXU9;
5/25/26, 11:31 AM;"PT Prima Armada Raya";"Dalam bisnis, risiko di jalan bukan hanya soal kendaraan, tapi dampaknya ke seluruh operasional.

Keterlambatan, kerusakan barang, hingga gangguan distribusi sering berawal dari hal yang bisa diantisipasi: standar keselamatan.

Karena itu, memastikan armada tetap aman bukan lagi pilihan, tapi kebutuhan. Pastikan distribusimu berjalan lebih tenang bersama partner yang tepat.

#MelayaniSepenuhHatiDenganPRIMA #AlwaysPRIMA #SelaluPrima #PARMemberOfPertamina";284.0;4.0;291.0;0.027178481367329786;964.0;0.18119551681195517;1606.0;0.027178481367329786;;;;;;;1606.0;1.0;;;;9601763952;17897693676304842;https://www.instagram.com/p/DYv5EriGWXN/;https://us-central1-fanpagekarma.cloudfunctions.net/img_in?mediaId=17897693676304842&access_token=EAAF4y12rbhoBR3AeS7s14Os9n5PDvZAB9g8icE8db1XGy6n2BwhwIgaA6k13bg5Bjj0p3TPzxRhT4oEP8dCWT7bAeAkAScZB9jahH1m3f2ghCOnVrDGAsR35oVaZA5HjgiJerniqZAkKBYDOjCF8LfaZASswMGlTKEsxI23O68aVHbKdzC3BhyfrGLnhhEXU9;
5/26/26, 1:30 PM;"PT Prima Armada Raya";"Kantuk saat berkendara bukan hal sepele, ini salah satu faktor risiko terbesar di jalan.

Mulai dari istirahat cukup, mengenali tanda lelah, hingga disiplin mengambil jeda, semuanya berperan menjaga keselamatan. Bagi perusahaan, memastikan kesiapan driver bukan hanya tanggung jawab individu, tapi bagian dari standar operasional.

Karena perjalanan yang aman selalu dimulai dari kondisi pengemudi yang optimal.

#MelayaniSepenuhHatiDenganPRIMA #AlwaysPRIMA #SelaluPrima #PARMemberOfPertamina";271.0;8.0;283.0;0.026364822060741568;1043.0;0.1723507917174178;1642.0;0.026364822060741568;;;;;;;1642.0;1.0;;;;9601763952;17952678003033890;https://www.instagram.com/p/DYyrfaJgUIx/;https://us-central1-fanpagekarma.cloudfunctions.net/img_in?mediaId=17952678003033890&access_token=EAAF4y12rbhoBR3AeS7s14Os9n5PDvZAB9g8icE8db1XGy6n2BwhwIgaA6k13bg5Bjj0p3TPzxRhT4oEP8dCWT7bAeAkAScZB9jahH1m3f2ghCOnVrDGAsR35oVaZA5HjgiJerniqZAkKBYDOjCF8LfaZASswMGlTKEsxI23O68aVHbKdzC3BhyfrGLnhhEXU9;
5/14/26, 10:32 AM;"PT Prima Armada Raya";"Sinergi Menuju Masa Depan yang Tangguh

PT Prima Armada Raya sukses menyelenggarakan RUPST Tahun Buku 2025 di Jakarta (12/05). Pertemuan ini bukan sekadar evaluasi, tapi bukti komitmen kami bersama PT Patra Jasa dan PT Pertamina Training & Consulting dalam memperkokoh tata kelola perusahaan yang bersih dan berintegritas.

Capaian positif di tahun 2025 menjadi fondasi kuat bagi kami untuk terus memberikan value creation bagi seluruh mitra bisnis. 

Terima kasih atas kepercayaan berkelanjutan dari para pemegang saham dan pemangku kepentingan. Kami siap melaju lebih jauh, memberikan layanan prima di setiap perjalanan! 🚀

#PrimaArmadaRaya #PAR #RUPST2025 #SinergiStrategis #LayananPrima";262.0;5.0;268.0;0.025906234896085064;2871.0;0.04513304142809026;5938.0;0.025906234896085064;;;;;;;5938.0;1.0;;;;9601763952;18142744780507751;https://www.instagram.com/p/DYTdlplGUlh/;https://us-central1-fanpagekarma.cloudfunctions.net/img_in?mediaId=18142744780507751&access_token=EAAF4y12rbhoBR3AeS7s14Os9n5PDvZAB9g8icE8db1XGy6n2BwhwIgaA6k13bg5Bjj0p3TPzxRhT4oEP8dCWT7bAeAkAScZB9jahH1m3f2ghCOnVrDGAsR35oVaZA5HjgiJerniqZAkKBYDOjCF8LfaZASswMGlTKEsxI23O68aVHbKdzC3BhyfrGLnhhEXU9;
5/31/26, 11:30 AM;"PT Prima Armada Raya";"Sahabat Prima, sesuai UU No. 22/2009 dan PP No. 55/2012, keselamatan jalan adalah prioritas utama. Pastikan 5 prinsip safety driving terpenuhi: kondisi fisik fit, kendaraan laik jalan, patuhi rambu, tetap konsentrasi tanpa distraksi, dan sedia perlengkapan darurat.

Disiplin berkendara bukan hanya soal aturan, tapi cara kita menghargai nyawa. Mari ciptakan jalanan yang aman!

#MelayaniSepenuhHatiDenganPRIMA #AlwaysPRIMA #SelaluPrima #PARMemberOfPertamina";258.0;9.0;274.0;0.024963556851311953;800.0;0.20043891733723482;1367.0;0.024963556851311953;;;;;;;1367.0;;1.0;;;9601763952;18098212694150140;https://www.instagram.com/p/DY_Vt-jjNkc/;https://us-central1-fanpagekarma.cloudfunctions.net/img_in?mediaId=18098212694150140&access_token=EAAF4y12rbhoBR3AeS7s14Os9n5PDvZAB9g8icE8db1XGy6n2BwhwIgaA6k13bg5Bjj0p3TPzxRhT4oEP8dCWT7bAeAkAScZB9jahH1m3f2ghCOnVrDGAsR35oVaZA5HjgiJerniqZAkKBYDOjCF8LfaZASswMGlTKEsxI23O68aVHbKdzC3BhyfrGLnhhEXU9;
